HARRIETSHAM-DUN-AKYUNE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ873520,Long,0.68165498,Lat,51.236435,Elevation,300,ft,,,,,,,,,,,,,
Station no,351,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,3.13,2.31,4.09,1.3,2.77,2.69,2.66,2.08,3.09,,,,,,
February,,,,,,,2.84,3.83,1.29,0.35,1.42,2.44,0.69,1.63,0.38,,,,,,
March,,,,,,,0.25,3.29,1.78,0,1.23,0.29,1.55,2.89,3.4,,,,,,
April,,,,,,2.25,4.36,1.87,2.63,1.68,1.4,5.01,2.82,1.07,2.26,,,,,,
May,,,,,,2.63,2.13,1.02,2.94,1.23,4.11,2.73,3.22,2.36,0.86,,,,,,
June,,,,,,0.39,2.53,3.23,2.72,1.49,0.73,1.1,0.85,2.34,1.21,,,,,,
July,,,,,,3.22,2.64,3.66,0.92,1.37,2.7,2.68,2.96,2.15,2.42,,,,,,
August,,,,,,1.92,2.3,4.25,2.27,1.77,4.2,2.94,0.48,1.03,2.06,,,,,,
September,,,,,,2.36,1.28,4.62,0.6,0.83,4.43,2.29,2.26,4.27,1.45,,,,,,
October,,,,,,3.85,2.41,1.85,5.49,3.41,1.68,0.77,7.58,1.95,2.09,,,,,,
November,,,,,,2.52,6.48,2.86,4.07,6.2,5.08,4.62,1.2,1.69,3.09,,,,,,
December,,,,,,2.71,1.42,4.14,3.52,6.15,2.65,0.52,0.69,0.57,5.95,,,,,,
Total,,,,,,,31.77,36.93,32.32,25.78,32.4,28.08,26.96,24.03,28.26,,,,,,
