"KIRRIEMUIR (MACRITCH)",,,,,,,,,,,,
Grid ref,NO260611,Long,-3.211201,Lat,56.735656,,,,,,,
Station no,5581,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.80,2.60,1.30,2.90,3.30,3.60,4.80,5.00,2.20,,,
February,4.30,1.62,1.60,4.60,2.00,2.10,4.60,2.70,0.90,,,
March,2.90,5.00,0.70,4.50,2.50,3.00,3.40,4.20,3.70,,,
April,3.30,2.00,2.50,1.50,1.70,1.10,1.30,0.90,3.00,,,
May,2.10,3.80,2.20,5.40,2.60,1.10,2.40,3.00,1.40,,,
June,2.40,2.70,3.00,2.50,2.00,3.20,1.60,3.00,2.70,,,
July,2.55,3.30,3.40,3.30,0.60,4.65,5.90,3.90,4.00,,,
August,5.80,2.80,2.70,2.90,0.70,6.50,4.20,4.10,2.00,,,
September,3.50,1.00,4.50,4.30,1.65,4.90,2.80,4.70,1.30,,,
October,1.30,5.20,3.20,6.90,2.65,2.80,2.00,3.50,3.60,,,
November,14.60,2.60,4.20,10.20,3.10,1.20,1.70,1.40,6.60,,,
December,4.40,3.00,5.10,6.00,6.70,6.30,6.80,6.60,,,,
Total,50.95,35.62,34.40,55.00,29.50,40.45,41.50,43.00,,,,
Calc annual,50.95,35.62,34.40,55.00,29.50,40.45,41.50,43.00,31.40,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
