SLATEFORD BURN TOMBETH HILL,,,,,,,,,,
Grid ref,NO087097,Long,-3.475838,Lat,56.270968,Elevation,770,ft,,
Station no,5534/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,2.2
July,,,,,,,,,,2.45
August,,,,,,,,,,7.35
September,,,,,,,,,,2.5
October,,,,,,,,,,6.95
November,,,,,,,,,,4.85
December,,,,,,,,,,4.55
Total,,,,,,,,,,
,,,,,,,,,,
1960 JA app,,,,,,,,,,
,,,,,,,,,,
Station no,5534/7,,,,,,,,,
Midas,15361,,,,,,,,,
Hyd stn,882543,,,,,,,,,
