WEYBRIDGE-HEATH-NETHERFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ079636,Long,-0.45162346,Lat,51.36123,Elevation,160,ft.,,,,,,,,,,,,
Station no,RR8477,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,3.81,1.88,0.97,0.97,2.71,1.87,0.45,1.42,3.25,,,,,
February,,,,,,,0.46,0.53,1.11,1.93,0.92,0.03,1.13,2.8,1.58,,,,,
March,,,,,,,1.33,1.6,2.79,1.56,1.56,1.81,1.16,0.33,1.26,,,,,
April,,,,,,,1.74,1.37,1.6,2.37,1.66,0.85,0.9,0.04,1.71,,,,,
May,,,,,,,3.78,1.5,1.24,3.08,1.5,2.79,1.05,0.89,1.72,,,,,
June,,,,,,,0.81,1.24,3.16,0.65,3.1,1.3,2.82,0.93,2.06,,,,,
July,,,,,,,1.88,0.77,6.54,1.9,3.72,3.18,2.19,1.69,3.37,,,,,
August,,,,,,,0.55,1.9,2.09,1.8,1.88,4.63,3.45,1.09,2.78,,,,,
September,,,,,,,1.53,1.99,1.05,1.27,0.6,1.07,2.52,1.29,1.42,,,,,
October,,,,,,,2.62,1.46,1.38,3.22,1.03,6.12,3.55,3.89,4.12,,,,,
November,,,,,,,2.63,3.45,3.69,0.73,1.76,2.33,2.72,1.96,3.29,,,,,
December,,,,,,,3.87,1.45,1.3,1.39,0.75,3.22,1.39,2.28,1.97,,,,,
Total,,,,,,,25.01,19.14,26.92,20.87,21.19,29.2,23.33,18.61,28.53,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Netherfield on Weybridge Heath. Altitudes match.,,,,,,,,,,,,,,,,,,,,
