CHIDDINGFOLD-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU965353,Long,-0.622922,Lat,51.108883,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,61/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.55,,6.47,7.11,3.8,6.11,3.08,3.16,3.32,6.73,2.35,2.12,3.48,3.22,5.31,1.05,0.98,4.26,2.76,1.24,1.96,,,,,,
February,,,,0.15,,2.39,5.71,0.56,1.71,3.21,3.41,0.77,1.9,0.67,2.44,2.73,1.95,1.88,1.64,6.01,7.32,0.76,1.59,2.91,,,,,,
March,,,,2.8,,1.68,4.19,0.32,1.62,3.96,3.41,2.14,0.6,0.11,1.31,1.6,6.22,1,1.29,1.98,4.86,2.95,0.53,3.11,,,,,,
April,,,,2.9,,1.8,4.42,0.17,2.4,1.82,1.47,2.12,1.21,1.35,1.11,2.46,2.59,2.25,2.12,2.98,2.98,2.16,2.56,0.29,,,,,,
May,,,,0.6,,0.56,2.48,1.56,1.71,0.88,2.9,3.29,3.44,0.6,1.76,3.13,1.52,3.71,2.57,1.81,2.82,2.66,2.3,2.82,,,,,,
June,,,,1.23,,3.77,1.56,0.94,1.32,1.5,1.82,0.19,1.59,1.78,2.44,2.45,2.64,3.31,0.66,1.41,1.22,1.39,1.49,3.63,,,,,,
July,,,,1.62,,3.85,0.92,2.53,3.21,2.6,3.42,1.85,2.07,2.12,6.03,1.33,0.92,1.06,1.1,3.69,1.8,0.67,4.38,2.96,,,,,,
August,,,,2.57,,0.76,0.73,1.29,2.07,0.05,4.73,4.29,1.9,1.55,1.83,5.2,0.57,3.99,1.16,3.65,4.52,2.76,1.94,2.47,,,,,,
September,,,,2.44,,2.38,1.87,2.36,0.57,1.57,0.23,2.2,1.61,2.39,2.38,4.43,1.48,2.37,1.61,3.37,3.19,3.43,3.03,2.95,,,,,,
October,,,,2.22,,1.82,2.96,3.93,5.46,4.46,1,3.93,3.86,4.25,4.33,1.26,0.79,2.34,8.11,0.52,1.03,4.09,4.17,2.54,,,,,,
November,,,,3.34,,4.99,2.47,5.45,6.29,8.49,4.05,1.91,1.68,5.36,0.14,6.44,1.21,1.81,3.38,6.97,9.65,3.93,1.64,6.86,,,,,,
December,,,,8.59,,4.19,4.38,4.49,1.97,1.95,2.67,3.84,2.32,3.32,4.21,3.75,2.95,4.94,1.9,2.25,3.4,2.65,0.81,3.01,,,,,,
Total,,,,31.01,,34.66,38.8,27.4,34.44,33.57,32.27,29.85,28.91,25.85,30.1,38.26,26.06,33.97,26.59,35.62,47.05,30.21,25.68,35.51,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unable to locate Chiddingfold House on any map so using NGR from sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Jan-Mar from Hyetograph then from standard MO gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Weekly readings taken from Hyetograph only Gardener who made standard observations left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1935 Not printed as readings taken from mechanical gauge, so deleted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Readings should be from standard gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978 S/N corrected from 316830 to 316898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Observer died and property sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
