"CHAPEL BURN (NORTH HILL)",,,,,,,,,,,,
Grid ref,NO058094,Long,-3.522540,Lat,56.267707,,,,,,,
Station no,5534/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,2.60,,
July,,,,,,,,,,2.53,,
August,,,,,,,,,,7.62,,
September,,,,,,,,,,2.95,,
October,,,,,,,,,,7.05,,
November,,,,,,,,,,7.10,,
December,,,,,,,,,,4.25,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
