CHAPEL BURN (NORTH HILL),,,,,,,,,,
Grid ref,NO058094,Long,-3.52254,Lat,56.267707,Elevation,1010,ft,,
Station no,5534/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,2.6
July,,,,,,,,,,2.53
August,,,,,,,,,,7.62
September,,,,,,,,,,2.95
October,,,,,,,,,,7.05
November,,,,,,,,,,7.1
December,,,,,,,,,,4.25
Total,,,,,,,,,,
,,,,,,,,,,
Station no,5534/4,,,,,,,,,
Midas,15360,,,,,,,,,
Hyd Stn,882517,,,,,,,,,
