WORCESTER GAS WORKS,,,,,,,,,,,,,,,,,,,,
Grid ref,SO855553,Long,-2.2135528,Lat,52.195742,Elevation,85,ft,,,,,,,,,,,,
Station no,RR2912,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,2.34,1.73,2.65,2.02,3.86,0.86,1.7,,,,,,,,
February,,,,,,1.75,2.25,1.74,1.05,1.79,2.04,1.02,,,,,,,,
March,,,,,,0.84,1.2,3.92,1.71,1.42,1.47,0.82,,,,,,,,
April,,,,,,0.99,1.58,1.91,2.16,1.79,0.54,1.89,,,,,,,,
May,,,,,,2.14,0.89,1.72,1.97,3.78,0.76,1.19,,,,,,,,
June,,,,,,1.58,4.25,1.12,0.2,1.07,0.83,2.84,,,,,,,,
July,,,,,,3.33,1.35,3.21,1,0.74,1.46,3.79,,,,,,,,
August,,,,,,3.01,3.7,1.42,3.66,2.06,1.2,0.48,,,,,,,,
September,,,,,,0.18,3.23,2.32,2.24,2.06,1.02,5.31,,,,,,,,
October,,,,,,4.59,2.63,2.16,1.58,2.48,3.28,1.89,,,,,,,,
November,,,,,,2.49,1.73,1.28,1.61,1.81,2.53,0.29,,,,,,,,
December,,,,,,1.42,1.33,1.15,5.06,3.23,1.67,1.57,,,,,,,,
Total,,,,,,24.66,25.87,24.6,24.26,26.09,17.66,22.79,,,,,,,,
Calc annual,0,0,0,0,0,,25.87,24.6,24.26,26.09,17.66,22.79,0,0,0,0,0,0,0,0
Difference,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
1865 arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,
