"MUTHILL, CRIEFF",,,,,,,,,,,,,,,,,,,,
Grid ref,NN 86835 17024,Long,-3.831859,Lat,56.332021,Elevation,247,ft,,,,,,,,,,,,
Station no,RR1662,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,5.11,5.92,3.41,8.46,5.76,10.61,6.77,3.35,4.98,6,7.01,4.52,,,,,
February,,,,3.13,5.11,5.12,7.33,5.48,8.16,5.89,3.5,4.78,7.13,1.02,1.32,,,,,
March,,,,1.37,4.82,1.33,3.63,2.09,5.67,1.27,1.11,3.29,3.16,1.64,3.34,,,,,
April,,,,3.55,1.71,1.12,2.75,4.84,3.87,1.83,1.17,5.86,1.58,0.64,2.81,,,,,
May,,,,1.93,1.5,3.15,1.34,4.54,4.48,1.09,4,1.23,4.17,3.53,2.72,,,,,
June,,,,3.24,3.16,0.56,2.13,2.68,1.59,2.69,1.12,2.03,5.75,1.63,1.88,,,,,
July,,,,0.22,2.68,4.08,4.58,6.42,1.05,1.68,0.93,5.8,4.36,4.9,4.1,,,,,
August,,,,4.53,1.87,4.75,6.22,3.13,7.01,0.85,1.4,3.51,6.28,3.52,3.97,,,,,
September,,,,5.27,5.9,0.96,6.49,3.28,4.19,6.35,4.05,2.24,7.13,3.34,4.41,,,,,
October,,,,4.5,4.79,5.18,2.93,6.5,4.27,3.17,3.97,5.23,4.07,4.94,7.05,,,,,
November,,,,3.7,4.09,3.97,3.16,0.83,2.87,2.94,1.24,3.89,5.66,3.8,5.1,,,,,
December,,,,5.6,6.27,5.83,7.18,2.52,8.28,8.49,3.95,3.86,8.18,3.3,1.51,,,,,
Total,,,,42.15,47.82,39.46,56.2,48.07,62.05,43.02,29.79,46.7,63.47,39.27,42.73,,,,,
,,,,,,,,,,,,,,,,,,,,
Position based on centre of village,,,,,,,,,,,,,,,,,,,,
