WINDSOR (BOLTON ROAD),,,,,,,,,,,,
Grid ref,SU962754,Long,-0.616416,Lat,51.469400,,,,,,,
Station no,781/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.99,1.90,0.93,0.98,,,,,,,,
February,5.38,0.64,1.46,2.31,,,,,,,,
March,3.53,2.65,0.38,2.21,,,,,,,,
April,2.99,1.56,2.27,0.33,,,,,,,,
May,2.41,2.41,1.53,3.48,,,,,,,,
June,1.01,1.28,1.38,3.71,,,,,,,,
July,1.37,0.45,3.52,2.71,,,,,,,,
August,3.24,2.84,1.61,3.55,,,,,,,,
September,2.90,3.34,1.46,2.67,,,,,,,,
October,0.81,2.97,2.67,2.60,,,,,,,,
November,5.83,3.07,1.48,,,,,,,,,
December,1.73,2.38,0.67,,,,,,,,,
Total,34.19,25.49,19.36,,,,,,,,,
Calc annual,34.19,25.49,19.36,24.55,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
