PLYMOUTH-NAVIGATION-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX484547,Long,-4.1325,Lat,50.3732,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,4.03,2.82,3.74,6.39,5.35,4.22,7.58,1.15,6.08,2.15,5.71,0.76,1.53,2.05,3.2,3.86,2.36,4.56,,,
February,,,,,,,,,,3.24,3.43,2.52,5.89,3.3,2.72,1.49,4.23,1.75,1.81,4.97,3.04,3.71,1.93,4.44,4.04,3.25,1.29,,,
March,,,,,,,,,,3.08,2.23,1.31,3.51,3.49,1.09,0.93,3.57,3.47,1.25,0.44,1.77,4.15,1.07,1.17,3.41,1.53,3.18,,,
April,,,,,,,,,,1.37,0.11,4.76,1.67,0.39,1.6,1.14,3.81,4.48,4.08,2.79,2.3,1.17,5.66,0.75,1.72,3.28,2.16,,,
May,,,,,,,,,,5.3,1.69,0.11,0.98,1.48,0.56,1.99,0.13,3.04,4.21,2.22,1.11,1.08,0.85,2.62,1,3.55,1.82,,,
June,,,,,,,,,,0.22,0.28,1.81,3.74,1.59,1.47,3.13,1.64,0.86,2.67,7.11,1.16,3.31,3.67,3.07,0.73,1.95,0.74,,,
July,,,,,,,,,,0.7,1.78,6.29,2.42,3.21,1.67,3.9,1.25,2.83,1.59,4.31,3.11,2.26,3.79,2.64,3.39,0.42,3.47,,,
August,,,,,,,,,,0.63,1.53,1.99,1.4,3.75,2.43,3,4.43,5.08,5.41,5.74,0.63,3.23,2.71,1.01,1.24,2.11,2.2,,,
September,,,,,,,,,,3.81,1.64,5.42,2.99,1.63,6.94,5.59,5.31,2.4,2.94,4.86,3.55,2.68,4.19,5.1,2.52,4.39,2.07,,,
October,,,,,,,,,,2.1,3.56,3.63,5.34,1.9,5.21,6.65,3.78,2.37,3.34,2.19,4.51,2.57,5.96,3.12,1.61,5.4,5.17,,,
November,,,,,,,,,,2.28,2.33,1.01,5.14,3.72,3.02,4.86,4.99,6.63,2.44,0.56,2.82,4.26,4.04,4.47,1.67,4.24,3.09,,,
December,,,,,,,,,,3.25,2.71,3.28,5.59,0.71,4.6,1.44,8.89,2.69,3.64,1.12,4.14,3.34,5.29,0.88,3.54,2.09,5.65,,,
Total,,,,,,,,,,30.01,24.11,35.87,45.06,30.52,35.53,41.7,43.18,41.68,35.53,42.02,28.9,33.29,41.21,32.47,28.73,34.57,35.4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1872 Aug 29 Gauge moved, elevation changed from 100ft to 75ft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
