"LITTLE SAXHAM",,,,,,,,,,,,
Grid ref,TL798636,Long,0.631972,Lat,52.241216,,,,,,,
Station no,RR3177,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.85,0.54,0.78,1.73,1.57,1.14,3.08,1.16,0.78,0.85,,
February,3.03,0.83,0.99,0.22,2.71,1.25,2.03,1.46,1.71,0.47,,
March,1.01,1.56,2.36,1.93,1.53,2.07,1.93,0.97,2.05,2.58,,
April,1.55,2.21,1.09,1.84,0.82,1.69,0.85,3.02,3.17,1.32,,
May,1.27,0.89,2.67,2.71,2.02,1.13,1.28,3.53,1.51,1.16,,
June,2.91,1.13,2.81,2.95,0.74,3.42,3.58,1.92,0.85,3.60,,
July,2.38,0.74,1.33,3.54,2.39,0.92,0.45,1.66,3.43,3.38,,
August,2.46,1.23,3.70,3.14,2.43,1.78,0.79,2.09,2.21,2.41,,
September,0.64,1.21,0.66,2.84,1.23,1.24,1.06,0.48,1.76,2.66,,
October,2.14,2.17,1.36,4.80,1.07,1.67,4.60,2.82,1.46,3.66,,
November,2.18,1.03,1.44,1.92,1.28,1.98,3.80,2.52,1.15,0.87,,
December,2.51,2.91,1.21,1.25,1.68,0.64,2.52,2.99,1.78,3.96,,
Total,24.93,16.45,20.40,28.87,19.47,18.93,25.97,24.62,21.86,26.92,,
Calc annual,24.93,16.45,20.40,28.87,19.47,18.93,25.97,24.62,21.86,26.92,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
