LITTLE SAXHAM RECTORY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL798636,Long,0.631972,Lat,52.241216,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,RR3177 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January ,,,,,,,2.66,1.82,0.95,0.66,,1.93,0.97,1.56,2.24,2.88,1.44,2.09,1.07,2.14,2.85,0.54,0.78,1.73,1.57,1.14,3.08,1.16,0.78,0.85,1.84,1.6,2.74,2.83,2.12,2.67,1.32,2.07,2.89,2.69,2.15,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February ,,,,,,,0.31,0.54,1.43,1.6,,0.05,2.2,2.92,1.68,0.27,0.81,2.21,0.89,1.12,3.03,0.83,0.99,0.22,2.71,1.25,2.03,1.46,1.71,0.47,1.92,1.04,1.29,0.69,1.76,2.74,4.74,0.58,0.95,3.06,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March ,,,,,,,1.67,1.95,3,1.29,,1.53,1.4,0.3,0.88,1.74,3.46,2.61,1.86,1.24,1.01,1.56,2.36,1.93,1.53,2.07,1.93,0.97,2.05,2.58,0.9,2.12,3.09,1.74,4.35,1.72,3.26,2.19,0.65,2.44,1.38,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,,,,,,,1,1.1,1.16,1.95,,0.67,1.57,0.1,1.26,1.16,0.93,1.97,1.06,2.13,1.55,2.21,1.09,1.84,0.82,1.69,0.85,3.02,3.17,1.32,2.43,1.16,0.33,2.33,0.77,0.94,1.58,1.54,3.63,3.55,3.78,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,,,,,,,2.54,1.85,0.75,3.87,,2.5,1.5,1.11,2.44,0.81,0.61,1.36,2.66,1.89,1.27,0.89,2.67,2.71,2.02,1.13,1.28,3.53,1.51,1.16,2.64,0.79,1.02,2.22,1.42,1.74,1.74,0.8,2.38,0.4,0.77,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June ,,,,,,,0.79,0.39,3.11,2.69,,0.93,3.09,1.4,2.42,0.66,3.65,2.85,3.22,1.18,2.91,1.13,2.81,2.95,0.74,3.42,3.58,1.92,0.85,3.6,2.25,3.02,2.25,1.56,1.19,2.21,2.19,2.17,0.65,1.2,1.49,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July ,,,,,,0.72,3.12,0.65,4.06,2.97,,3.25,2.95,7.25,2.87,3.62,1.99,2.02,1.79,2.75,2.38,0.74,1.33,3.54,2.39,0.92,0.45,1.66,3.43,3.38,4.04,0.43,2.92,1.24,1.95,3.11,1.78,2.75,3.92,3.64,2.85,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,,,,,,1.87,1.32,2.02,2.17,3.54,,3.95,2.68,2.18,3.01,4.46,2.72,3.06,1.78,1.12,2.46,1.23,3.7,3.14,2.43,1.78,0.79,2.09,2.21,2.41,2.17,1.69,7.98,1.21,0.81,1.97,3.32,4.71,1.22,2.34,2.11,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,,,,,,3.96,1.09,2.25,0.82,3.45,,1.15,3.38,1.13,1.4,0.6,6.03,2.76,0.2,2.38,0.64,1.21,0.66,2.84,1.23,1.24,1.06,0.48,1.76,2.66,1.37,1.51,2.54,1.93,1.22,1.18,1.75,1.42,5.62,0.67,2.22,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,,,,,,4.64,2.43,2.03,0.9,3.81,,3.79,5.46,2.66,2.31,2.13,2.96,0.73,2.1,1.93,2.14,2.17,1.36,4.8,1.07,1.67,4.6,2.82,1.46,3.66,1.92,2.68,1.89,3.63,2.16,1.1,2.77,3.91,2.15,0.94,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November ,,,,,,2.92,2.75,2.32,3.65,1.51,,1.91,1.58,2.58,2.31,2.23,1.06,0.99,2.25,2.97,2.18,1.03,1.44,1.92,1.28,1.98,3.8,2.52,1.15,0.87,2.56,3.71,2.39,2.2,3.34,2.2,3.31,1.6,2.09,2.18,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December ,,,,,,1.05,3.56,1.34,1.14,1.28,,2.76,1.33,1.78,2.32,1.93,3.56,1.5,2.37,1.47,2.51,2.91,1.21,1.25,1.68,0.64,2.52,2.99,1.78,3.96,4.22,3.98,2.53,0.81,5.79,3.6,2.84,1.21,2.81,3.97,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
