BECKENHAM-PARK-LANGLEY,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ376683,Long,-0.023467717,Lat,51.397055,Elevation,140,ft,,,,,,,,,,,,
Station no,396/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.48,1.03,4.07,4.16,2.15,4.32,1.9,2.18,2.06,4.68,1.27,1.37,1.31,,,,
February,,,,0.25,2.58,1.77,4.12,0.68,1.25,1.37,1.77,0.71,1.28,0.74,1.14,1.88,,,,
March,,,,2.16,0.39,0.86,3.55,0.59,1.23,2.74,2.44,2,0.27,0.05,1.05,1.12,,,,
April,,,,2.66,2.4,1.72,2.24,0.18,2.65,1.57,1.42,1,1.13,1.19,1.05,2.07,,,,
May,,,,0.74,1.52,0.42,2.35,1.38,2.03,1.34,1.89,3.12,2.17,0.33,2.44,3.71,,,,
June,,,,0.98,3.4,3.19,2.2,0.57,1.04,1.19,2.07,0.96,1.48,1.97,1.5,1.93,,,,
July,,,,4.45,1.13,3.61,0.41,1.8,3.07,2.85,2.47,2.24,1.6,1.22,3.43,1.63,,,,
August,,,,2.02,2,0.6,2.85,1.87,3.06,0.11,3.82,2.15,1.13,2.19,1.48,4.79,,,,
September,,,,1.15,2.93,2.56,1.86,2.69,1.48,1.15,0.58,1.86,1.67,2.45,1.34,,,,,
October,,,,1.64,3.06,2.19,2.49,2.17,6.7,2.11,0.64,3.73,2.44,3.15,2,,,,,
November,,,,2.57,4.05,3.3,1.55,2.76,3.81,6.41,2.9,1.92,1.22,3.1,0.09,,,,,
December,,,,5.28,3.07,2.39,3.77,2.2,1.17,1.04,1.45,1.98,1.54,1.72,2.49,,,,,
Total,,,,25.38,27.56,26.68,31.55,19.04,31.81,23.78,23.63,23.73,20.61,19.38,19.38,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1946 Gauge moves,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,
