ADDERBURY,,,,,,,,,,,,
Grid ref,SP476343,Long,-1.307981,Lat,52.005103,,,,,,,
Station no,1066/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.17,1.59,1.02,0.94,2.21,4.08,1.53,3.18,,,,
February,2.45,0.57,1.49,2.38,1.40,0.38,3.13,2.87,,,,
March,4.26,2.65,0.81,2.60,1.72,0.71,1.98,1.56,,,,
April,2.72,1.78,1.96,0.38,0.94,1.05,0.62,0.64,,,,
May,2.77,1.81,1.39,2.98,4.05,0.63,1.34,2.03,,,,
June,1.48,1.37,1.59,2.58,2.40,2.35,1.79,3.22,,,,
July,1.84,0.28,2.91,2.25,0.00,3.02,4.09,3.00,,,,
August,2.71,3.23,2.75,3.28,0.18,3.23,4.61,2.32,,,,
September,2.74,,1.74,2.79,1.46,2.14,2.75,3.19,,,,
October,0.71,,3.97,2.75,1.22,1.69,1.43,2.70,,,,
November,2.52,2.89,1.16,5.96,1.49,0.79,1.63,2.39,,,,
December,1.96,2.44,0.82,2.30,2.35,3.61,2.32,2.47,,,,
Total,29.33,,21.61,31.19,19.42,23.68,27.22,29.57,,,,
Calc annual,29.33,18.61,21.61,31.19,19.42,23.68,27.22,29.57,0.00,0.00,,
Difference,-0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
