GREENFIELD ASHWAY MOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE032046,Long,-1.953187,Lat,53.538039,Elevation,1607,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,2.2,5.6,1.37,3.15,3.95,3.78,7.2,3.47,4.42,5.09,4.92,4.19,7.24,3.14,3.49,2.13,2.86,4.69,4.41,9.27,2.13,5.71,6.27,5.37,2.66,3.26,1.7,4.48,5.56,6.44,7.27,2.33,4.06,6.65,6.88,8.6,5.96,6.4,3.57,12.08,2.97,3.84,6.19,6.55,3.14,5.4,4.54,7.84,5.84,5.7,5.13,6.16,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,2.1,4.32,4.65,2.43,1.32,2.3,4.14,5.5,1.38,5.8,1.41,3.92,0.76,4.39,3.29,1.57,5.53,3.89,1.77,4.34,0.82,1.26,6.65,0.54,4.12,0.44,5.17,3,8.89,2.51,5.7,3.69,7.44,2.07,3.8,3.53,6.12,8.25,2.5,3.47,3.44,6.39,4.89,2.36,3.29,4.69,2.92,2.91,4.48,7.74,0.78,3.57,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.5,0.74,2.45,5.69,4.78,6.15,1.31,5.07,2.77,2.19,5.5,2.89,2.79,2.1,2.12,0.89,1.47,1.63,4.72,2.27,1.29,2.59,0.3,3.04,3.56,2.67,1.84,2.77,4.35,2,4.06,4.62,6.74,4.28,2.19,1.07,1.67,2.36,8.5,1.64,1.97,3.03,6.99,3.96,3.29,3.8,3.18,2.07,4.7,3.66,3.15,1.81,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.9,4,2.59,1.13,4.33,1.52,1.25,2.37,2.13,2.06,2.81,6.53,2.62,3.05,2.96,2.02,2.38,2.72,5.01,1.31,1.95,3.39,5.24,4.12,1.97,3.58,2.97,2.78,4.02,0.81,2.79,4.06,4.05,3.08,3.3,3.37,3.07,2.8,4.76,2.35,5.16,5.17,3.84,4.6,4.21,1.17,3.18,3.54,1.31,1.8,5.2,3.29,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.7,3.98,1.73,4.57,3.72,2.42,1.56,3.41,2.62,3.45,1.65,4.97,2,1.1,3.67,4.4,3.82,4.71,1.73,2.29,3.38,2.85,3.04,5.12,1.89,2.7,0.84,1.92,3.55,4.98,2.82,1.6,3.56,4.82,2.98,5.2,4.45,3.34,4.14,2.41,3.64,2.59,3.94,2.92,2.9,4.53,5.69,2.29,1.46,5,2.72,2.66,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.6,4.22,4.57,4.73,2.6,6.13,1.48,2.91,1.78,1.63,1.69,3.21,0.37,2.39,1.17,1.9,0.05,4.65,4.93,6.16,1.24,4.07,6.4,0.61,3.44,2.14,3.34,5.05,2.52,5.49,3.98,1.1,1.88,1.69,4.66,4.14,7.47,4.56,3.38,5.61,0.96,2.87,1.46,3.85,4.8,5.04,4.4,4.25,2.92,7.04,2.59,2.45,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.1,5.41,0.37,5.64,1.65,4.41,4.31,2.35,1.91,5.86,2.39,7.72,1.27,4.74,3.32,2.74,2.64,3.41,3.66,2.23,3,9.06,4.76,5.76,4.15,4.29,2.02,5.74,3.7,5.71,9.03,6.27,3.63,6.25,2.98,4.69,2.56,7.67,3.2,2.83,3.31,4.08,5.03,4.38,9.21,7.76,1.68,9.31,7.69,5.41,5.19,10.73,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,3.3,6.17,3.85,9.22,2.1,4.16,4.05,1.98,7.65,3.99,2.84,2.64,5.1,5.64,3.01,4.12,4.04,5.29,7.08,5.82,6.36,6.07,7.42,1.9,1.84,3.64,1.99,3.38,1.71,4.24,2.03,3.17,8.65,6.3,7.6,5.05,5.05,5.88,0.42,5.99,4.71,6.07,8.98,4.93,6.17,8.83,0.45,14.68,7.24,6.46,0.66,7.82,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2,0.45,3.97,2.75,2.11,2.35,0.77,2.75,2.74,11.18,1.77,2.75,0.76,3.66,2.94,3.31,3.94,3.42,7.28,0.81,2.16,5.38,6.22,5.46,2.62,3.8,5.55,7.07,2.78,2.79,1.66,5.72,0.9,4.13,5.72,6.25,3.48,7.73,2.79,3.83,2.54,8.02,4.47,4.84,4.05,7.59,2.81,6.22,9.21,6.79,0.39,5.41,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.7,3.88,3.9,5.2,2.94,3.24,2.53,6.19,4.86,3.17,2.64,1.41,2.05,1.49,3.26,4.73,6.25,3.39,4.52,5.18,5.41,5.9,3.01,8.32,5.64,5.17,7.88,5.94,3.56,10.46,4.06,5.63,6.88,8.62,3.54,5.06,7.34,1.85,1.96,3.59,5.02,3.81,1.39,6.57,2.39,8.93,3.46,4.17,7.55,4.94,5.14,8.38,,,,,,,,,,,,,,,,,,,
