SEAFORD-SOUTHDOWN-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ483003,Long,0.10233375,Lat,50.783316,Elevation,120,ft,,,,,,,,,,,,,
Station no,502,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,3.06,2.56,2.09,1.98,2.53,0.67,4.14,,,,
February,,,,,,,,,,1.2,1.89,1.93,0.1,2.13,0.11,4.27,1.89,,,,
March,,,,,,,,,,0.06,2.15,0.54,1.27,1.81,3.01,0.58,1.64,,,,
April,,,,,,,,,,,1.44,3,2.26,1.28,1.82,3.63,1.62,,,,
May,,,,,,,,,,,2.39,2.56,2.54,1.52,0.38,1.14,0.18,,,,
June,,,,,,,,,,2.46,0.53,2.18,1.79,1.69,1.6,2.1,2.66,,,,
July,,,,,,,,,,1.36,1.8,2.01,3.4,1.08,1.21,0.45,3.23,,,,
August,,,,,,,,,,,3,3.67,0.61,0.82,2.2,4.5,0.57,,,,
September,,,,,,,,,,,2.43,1.3,3.64,3.84,1.26,5.72,2.04,,,,
October,,,,,,,,,,6.07,2.72,0.27,7.7,2.16,2.43,4.25,1.07,,,,
November,,,,,,,,,,6.84,7.03,4.77,1.53,0.93,3.76,6.11,4.38,,,,
December,,,,,,,,,,7.24,3.08,0.98,0.5,1.06,8.68,3.14,2.22,,,,
Total,,,,,,,,,,,31.52,25.77,27.43,20.3,28.99,36.56,25.64,,,,
