"BISHOPS CANNING, DEVIZES W.WKS SHEPHERD'S SHORE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU048667,Long,-1.932391,Lat,51.399313,Elevation,555,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,,,1.33,2.72,3.68,2.58,4.41,2.5,0.87,0.94,2.94,1.89,0.81,2.3,2.02,3.15,0.86,1.98,0.45,3.39,2.94,1.6,1.3,3.12,3.88,0.55,4.8,1.1,2.2,0.98,2.53,0.65,2.89,3.36,0.63,4.57,2.01,1.61,2.88,3.41,3.36,3.17,2.71,1.88,4.4,3.19,3.56,2.18,5.25,1.34,4.03,1.74,3.01,2.53,2.7,0.67,4.07,4.75,3.11,4.58,2.75,2.12,2.79,5.38,2.32,1.5,2.36,1.84,6.8,1.32,0.51,3.17,2.13,0.86,1.53,2.57,4.73,2.41,2.97,4.48,3.74,,,,,,,,,,,,,,,,,,,,
February,,3.56,1.71,4.71,1.64,3.58,0.92,0.89,1.18,1.67,0.76,0,1.58,4.19,2.58,0.2,0.37,2.88,1.61,2.91,4.6,1.4,1.14,2.04,3.37,0.76,3.23,1.63,1.42,0.57,2.89,1.37,1.58,0.85,2.66,4.45,3.12,1.1,1.43,1.81,1.02,0.48,3.07,5.33,0.21,5.62,2.15,4.07,2.34,0.68,0.55,2.2,0.05,3.65,0.17,2.58,1.99,5.88,0.89,1.29,2.63,2.63,0.51,1.39,0.89,2.89,3.21,1.14,1.38,1.59,5.57,5.3,0.69,1.59,3.13,1.42,0.28,3.5,3.06,0.3,2.04,,,,,,,,,,,,,,,,,,,,
March,,2.42,1.8,1.04,2.28,1.18,2.23,2.1,3.17,2.5,1.16,1.75,0.6,0.32,2.03,2.59,3.03,3.82,0.69,0.23,1.6,2.45,1.83,4.18,1.7,4.24,2,1.15,3.47,4.13,0.68,1.6,4.53,2.66,3.82,1.33,2.24,2.29,0.95,4.58,1.86,1.6,2.33,2.57,1.26,0.36,1.06,3.19,2.13,0.4,1.74,0.4,2.38,3.41,2.39,0.96,2.97,3.69,0.2,1.47,2.31,3.16,2.2,0.89,0.39,1.14,0.98,5.41,1.27,1.14,1.07,3.7,3.78,0.59,2.67,1.36,0.86,2.45,1.48,3.01,1.73,,,,,,,,,,,,,,,,,,,,
April,,0.75,4.5,0.79,1.86,2.18,2.95,1.39,2.03,3.17,1.72,1.29,0.74,0,1.8,2.41,1.14,2,1.54,2.71,2.09,2.8,1.69,3.41,1.55,2.76,1.03,4.37,3.45,1.78,2.18,1.16,0.1,2.61,1.72,0.82,0.48,1.21,2.87,2.24,5.76,0.71,3.28,2.64,2.81,3.29,2.69,1.85,1.43,0.6,3.02,2.45,3.13,1.67,2.32,4.94,2.15,3.53,0.09,3.12,2.24,1.9,1.55,0.8,1.61,1.08,2.32,2.12,1.73,1.56,2.11,3.18,1.66,2.38,0.39,0.87,1.54,0.36,1.06,2.68,1.8,,,,,,,,,,,,,,,,,,,,
May,,1.52,2.16,2.05,1.34,2.55,3.56,1.47,0.85,1.78,1.8,2.6,0.9,1.38,1.57,0.74,0.23,0.81,2.52,2.29,1.41,1.62,2.45,4.46,2.92,0.11,2.56,2.49,1.75,1.18,1.24,1.03,1.46,2.17,1.54,1.24,1.08,1.56,1.8,0.66,2.94,1.76,0.91,1.5,4.75,3.69,3.82,0.74,1.15,1.86,1.68,3.21,5.37,2.15,1,1.14,1.47,2.14,1.86,1.35,1.39,1.55,5.08,2.67,0.8,2.05,4.28,1.96,4.11,2.67,2.4,2.41,4.09,1.91,2.45,5.11,0.39,2.01,2.42,1.32,1.26,,,,,,,,,,,,,,,,,,,,
June,,2.94,5.3,2.28,3.14,1.82,0.68,1.34,4.02,1.07,3.43,1.01,1.29,2.15,2.54,0.86,1.7,3.78,1.67,2.06,2.02,1.79,2.85,4.94,1.14,3.97,2.9,3.23,0.77,2.36,4.11,1.53,3.08,0.45,1.62,0.41,2.2,2.16,1.09,0.97,2.66,0.41,1.6,0.47,3.54,0.09,2.92,3.42,3.04,1.69,1.62,2.99,1.4,1.85,1.4,4.72,2.01,0.98,1.27,2.31,0.63,1.49,0.46,2.43,2.02,4.37,2.83,2.01,3.39,0.51,1.92,1.13,2.15,1.55,4.34,3.06,2.2,1.84,3.17,1.09,3.53,,,,,,,,,,,,,,,,,,,,
July,,2.18,3.53,2.98,3.59,0.36,2.96,1.14,4.03,4.94,3.44,2.69,2.61,4.07,4.51,4.32,1.58,1.01,0.27,0.37,1.88,3.17,1.02,2.89,3.39,1.91,1.02,1.75,2.48,2.58,1.32,0,2.16,1.01,3.85,4.34,1.16,3.23,6.14,2.09,5.57,0.49,3.78,0.96,4.55,4.46,2.12,3.92,2.33,1.96,2.97,4.68,5.37,3.7,2.08,0.63,4.47,1.52,2,4.7,2.81,2.51,2.36,2.31,2.33,1.55,1.15,1.55,0.92,1.48,5.35,1.25,0.31,3.13,3.08,1.62,2.77,3.54,3.54,2.76,3.58,,,,,,,,,,,,,,,,,,,,
August,,5.59,3.3,1.51,1.46,2.12,1.44,1.7,1.89,2.96,2.62,7.34,3.66,1.77,2.67,2.99,4.05,5.2,1.42,1.31,2.51,2.13,3.39,3.85,2.81,5.1,1.52,3.12,3.92,2.67,3.37,1.19,4.18,1.27,3.02,1.77,3.03,5.23,2.38,2.91,1.42,1.27,4.08,3.03,2.56,2.9,1.31,4.23,2.57,1.78,2.71,3.72,1.17,1.16,3.16,2.41,0.5,0.66,2.82,2.84,0.08,5.11,5.66,3.21,3.44,2,4.3,0.59,2.79,1.45,3.03,6.01,4.54,2.59,4.32,0.32,4.31,3.55,2.46,2.7,3.53,,,,,,,,,,,,,,,,,,,,
September,,1.86,3.41,4.76,1.81,4.82,2.17,2.6,1.78,1.41,1.91,1.96,2.74,1.31,1.81,0.74,5.38,2.51,0.66,2.57,0.72,1.88,1.56,2.49,1.94,1.41,1.14,0.76,2.57,3.02,0.26,1.17,1.04,2.44,1.36,1.6,1.2,1.68,6.92,1.52,1.47,2.22,1.56,4.28,3.28,3.59,2.37,5.65,1.38,0.3,3.67,2.21,4.1,2.83,2.64,5.83,2.76,2.99,2.31,0.86,1.21,1.14,1.54,1.59,2.34,2.48,4.56,1.39,2.66,1.59,4.17,2.85,2.56,3.58,4.06,1.03,3.13,3.54,4.11,0.2,4.71,,,,,,,,,,,,,,,,,,,,
October,,1.46,6.26,2.51,0.89,4.68,6.32,1.95,1.39,2.33,1.16,6.99,3.85,5.2,3.66,3.64,2.69,1.44,4.12,2.33,2.58,1.72,1.88,6.95,1.18,1.61,6.09,6.65,1.44,4.72,3.5,1.67,3.05,2.02,2.47,1.93,5.38,4.21,1.87,1.37,2.53,1.1,1.17,5.42,5.25,3.16,3.05,2.31,4.73,4.64,2.23,0.82,5.77,2.27,1.98,5.4,1.5,4.41,4.3,4.12,3.52,2.19,4.41,3.27,4.44,4.14,1.5,0.7,4.89,7.38,1.28,0.85,4.11,3.16,3.33,1.84,2.11,2.52,2.83,1.67,7.79,,,,,,,,,,,,,,,,,,,,
