HAVERLAND,,,,,,,,,,,,,,,,,,,,
Grid ref,TG152214,Long,1.1875,Lat,52.7478,Elevation,140,ft,,,,,,,,,,,,
Station no,RR1013,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,2.03,2.71,0.13,1.99,2.36,2.42,1.73,,,,,,,
February,,,,,,,2.24,2.33,1.53,2,0.98,1.33,1.09,,,,,,,
March,,,,,,,-999,-999,-999,-999,-999,-999,-999,,,,,,,
April,,,,,,,-999,-999,-999,-999,-999,-999,-999,,,,,,,
May,,,,,,,-999,-999,-999,-999,-999,-999,-999,,,,,,,
June,,,,,,,-999,-999,-999,-999,-999,-999,-999,,,,,,,
July,,,,,,,-999,-999,-999,-999,-999,-999,-999,,,,,,,
August,,,,,,,-999,-999,-999,-999,-999,-999,-999,,,,,,,
September,,,,,,,3.09,0.91,2.17,2.21,2.34,2.99,4.96,,,,,,,
October,,,,,,3.79,3.61,1.57,2.08,2.11,2.23,4.65,2.05,,,,,,,
November,,,,,,2.41,3.34,2.55,3.2,3.14,3.14,3.01,3.84,,,,,,,
December,,,,,,0.42,1.3,2.56,1.1,2.66,0.67,2.61,0.7,,,,,,,
Total,,,,,,,-999,-999,-999,-999,-999,-999,-999,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note: Haverland refers to Haveringland Hall,,,,,,,,,,,,,,,,,,,,
