"NORTH SHIELDS POST OFFICE DOCKWRAY SQUARE",,,,,,,,,,,,
Grid ref,NZ360684,Long,-1.438646,Lat,55.008865,,,,,,,
Station no,RR1890,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.61,1.50,0.80,2.33,1.70,0.21,2.05,0.43,1.26,0.62,,
February,4.35,1.93,1.17,0.86,2.17,0.67,0.98,1.18,0.92,1.24,,
March,1.72,1.92,0.67,1.15,0.96,1.48,0.94,0.69,2.61,4.06,,
April,1.21,0.74,1.34,1.71,1.49,2.12,0.56,1.75,2.63,2.64,,
May,1.10,2.32,2.63,2.14,2.72,0.42,5.85,4.33,1.85,1.97,,
June,3.71,1.30,2.25,2.77,1.78,0.67,1.53,2.28,0.80,2.26,,
July,1.72,2.38,2.25,5.23,0.99,1.59,1.27,1.51,2.77,2.49,,
August,6.05,2.31,2.06,1.83,2.42,2.34,3.42,2.84,1.23,3.36,,
September,0.67,1.05,0.60,2.69,0.98,1.57,0.39,0.77,1.67,1.86,,
October,6.62,3.63,1.91,7.83,0.74,3.42,4.67,4.33,1.31,2.99,,
November,2.47,5.22,1.16,2.66,2.76,4.01,2.45,1.69,1.23,0.92,,
December,1.77,3.60,2.90,1.71,1.78,0.15,2.43,3.07,1.75,4.21,,
Total,34.00,27.90,19.74,32.91,20.49,18.65,26.54,24.87,20.03,28.62,,
Calc annual,34.00,27.90,19.74,32.91,20.49,18.65,26.54,24.87,20.03,28.62,,
Difference,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
