"NORTH SHIELDS POST OFFICE, DOCKWRAY SQUARE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ360684,Long,-1.438646,Lat,55.008865,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,3.68,2.49,1.22,0.41,1.12,0.57,1.49,2.83,1.56,2.39,1.46,1.18,1.09,1.7,0.68,1.5,1.45,1.18,3.19,1.08,1.69,0.96,2.31,2.61,1.5,0.8,2.33,1.7,0.21,2.05,0.43,1.26,0.62,2.12,1.45,2.33,4.17,1.8,,,,,
February,,,,,,,,1.85,0.76,2.94,1.24,3.32,0.54,1.47,0.86,0.79,1.2,0.34,0.99,1.1,1.23,0.05,1.74,2.89,2.58,0.73,0.63,1.3,0.58,0.69,4.35,1.93,1.17,0.86,2.17,0.67,0.98,1.18,0.92,1.24,2.4,0.84,2.03,0.49,0.98,,,,,
March,,,,,,,,2.54,1.23,0.63,1.52,2.59,1,1.87,2.21,1.68,1.76,1.39,4.22,2.75,1.71,3.07,1.18,0.84,0.64,2.09,1.63,2.42,1.28,1.74,1.72,1.92,0.67,1.15,0.96,1.48,0.94,0.69,2.61,4.06,0.71,1.87,1.95,2.5,2.3,,,,,
April,,,,,,,,3.89,1.85,2.26,1.46,1.06,2.97,1.15,2.11,1.65,1.45,0.64,1.38,2.1,0.65,1.19,1.07,0.33,0.61,1.46,0.46,1.35,2.28,2.54,1.21,0.74,1.34,1.71,1.49,2.12,0.56,1.75,2.63,2.64,1.88,1.4,0.14,2.62,0.67,,,,,
May,,,,,,,,1.96,2.07,1.76,1.23,1.6,2.33,1.56,0.62,2.14,2.26,1.31,0.39,1.47,1.75,1.38,2.19,1.31,2.4,0.61,0.87,0.97,2.16,3.53,1.1,2.32,2.63,2.14,2.72,0.42,5.85,4.33,1.85,1.97,2.74,1.21,3,3.18,1.45,,,,,
June,,,,,,,,1.09,1.69,3.41,1.14,1.5,3.52,2.26,1.39,1.27,1.07,0.24,1.74,0.25,3.02,0.41,2.49,1.04,3.2,1.75,1.64,2.51,1.83,2.01,3.71,1.3,2.25,2.77,1.78,0.67,1.53,2.28,0.8,2.26,1.46,5.35,4.91,1.38,3.2,,,,,
July,,,,,,,,2.73,0.55,3.95,4.23,2.86,3.66,4.03,2.45,1.16,4.03,0.73,5.03,2.72,1.49,3.37,1.28,2.76,2.1,4.73,2.36,1.28,0.81,2.33,1.72,2.38,2.25,5.23,0.99,1.59,1.27,1.51,2.77,2.49,1.76,0.59,3.51,0.62,,,,,,
August,,,,,,,,5.74,4.44,3.23,1.21,4.55,4.12,2.38,0.65,3.33,2.15,2.29,1.78,4.21,4.61,3.69,3.06,2.43,3.24,3.42,1.75,2.33,2.08,1.17,6.05,2.31,2.06,1.83,2.42,2.34,3.42,2.84,1.23,3.36,2.45,2.81,5.19,0.74,,,,,,
September,,,,,,,,1.6,1.62,0.65,3.63,4.36,1.63,3.02,1.17,2.14,1.65,4.98,1.2,1.27,1.63,2.08,2.51,1.81,0.52,0.56,2.17,2.85,0.13,2.37,0.67,1.05,0.6,2.69,0.98,1.57,0.39,0.77,1.67,1.86,0.81,2.37,2.07,4.17,,,,,,
October,,,,,,,,2.42,1.48,0.82,3.48,3.04,2.66,1.54,1.61,3.85,2.94,2.97,0.69,4.1,2.16,1.31,4.46,0.96,4.05,5.06,5.18,1.27,3.97,1.86,6.62,3.63,1.91,7.83,0.74,3.42,4.67,4.33,1.31,2.99,3.14,2.21,3.88,1.9,,,,,,
November,,,,,,,,1.23,5.47,3.46,2.08,1.12,2.65,0.82,1.4,1.53,2.74,2.59,3.29,0.93,2.99,2.31,1.25,2.54,0.54,1.61,1.18,1.72,3.44,1.21,2.47,5.22,1.16,2.66,2.76,4.01,2.45,1.69,1.23,0.92,2.98,3.4,1.97,1.62,,,,,,
December,,,,,,,,1.72,3.12,0.95,2.96,1.66,3.24,2.33,1.47,0.64,3.26,2.8,0.68,1.4,1.29,2.97,1.48,1.26,1.08,1.67,4.23,1.85,0.93,3.42,1.77,3.6,2.9,1.71,1.78,0.15,2.43,3.07,1.75,4.21,1.92,2.76,1.32,1.17,,,,,,
Total,,,,,,,,30.45,26.77,25.28,24.59,28.78,28.89,23.92,18.77,21.74,26.9,21.74,22.57,23.39,24.23,22.51,24.21,19.62,22.14,26.88,23.18,21.54,20.45,25.18,34,27.9,19.74,32.91,20.49,18.65,26.54,24.87,20.03,28.62,24.37,26.26,32.3,24.56,,,,,,
