RADNOR-FOREST,,,,,,,,,,
Grid ref,SO182638,Long,-3.2000734,Lat,52.266252,Elevation,2150,ft.,,
Station no,RR7890,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,
February,,,,,,,3.12,,,
March,,,,,,,3,,,
April,,,,,,,1.37,,,
May,,,,,,,4.1,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
Gauge is assumed to be in the same position as RADNOR-FOREST-GLASWYN-GREAT-RHOS but could be significant distance away.,,,,,,,,,,
The same readings appear on the records for RADNOR-FOREST-GLASWYN-GREAT-RHOS but have been crossed out,,,,,,,,,,
