PITTENWEEM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO551026,Long,-2.7255002,Lat,56.21385,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,RR1004 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January ,,3.72,1.07,0,3.32,1.05,2.27,1.4,3.52,0.5,5.05,2.1,2.75,0.61,2.1,2.84,2.88,1.11,1.29,2.36,1.08,3.84,4.81,4.26,2.93,1.14,2.22,1.51,1.36,1.52,3.93,1.73,3.62,3.15,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February ,,4.7,1.4,4.14,1,2.47,0.7,1.38,3.54,0.82,3.25,3.5,2.18,1.43,1.81,1.34,0.68,0.35,5.82,0.56,-999,0.06,1.67,2.36,0.63,1.05,2.59,0.16,0.9,1.42,1.08,1.76,2.14,0.81,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March ,,5.58,1.42,1.68,0.88,1.42,3.73,0.75,1.14,2,0.5,1.74,3.74,1.31,2.51,1.97,0.95,0.59,2.87,0.61,0.03,3.58,0.89,1.31,1.3,1.9,0.08,2.57,0.97,2.07,2.48,1.62,2.7,0.81,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,,1.7,0.88,1.69,0.33,0.43,1.08,2.93,1.96,0.33,0,1.14,0,4.18,0.63,1.51,3.3,1.16,2.37,1.3,1.71,1.86,0.36,1.21,0.19,0.6,2.2,1.87,1.44,2.22,0.87,1.12,1.55,1.59,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,,1.2,1.14,1.26,0.8,2.04,0.24,0.57,2.31,0.5,4.2,2.16,0.98,3.63,0.52,1.74,2.76,5.27,0.76,2.58,2.31,0.22,1.45,0.67,2.69,1.47,2.46,1.56,2.24,0.22,0.95,0.74,2.63,1.45,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June ,,0.83,1.9,2.8,1.94,0.62,1,0.48,4.77,3.42,3.5,2,1.18,2.93,4.46,3.73,2.51,2.08,5.43,1.56,1.1,1.57,4,1.48,3.23,2.05,3.95,3.14,1.54,2.03,3.85,1.78,2.26,2.14,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July ,,1.14,0.73,0.96,1.7,2.13,2.82,2.2,2.29,3,3.12,2.65,1.8,5.36,3.04,2.93,4.78,2.72,2.93,3.16,1.61,2.34,1.5,3.19,1.12,2.75,1.86,1.02,3.36,2.73,1,2.39,2.17,0.37,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,,1.64,2.36,1.14,1.06,2.33,1.46,2.1,2.19,2.1,3.1,4.76,2.37,2.48,3.2,3.21,3.46,0.61,2.78,1.3,2.62,2.72,2.15,4.1,1.49,2.54,5.1,1.52,2.38,0.56,2.04,5.48,1.75,4.14,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,,1.66,0.38,0.98,5.67,2.52,2.59,0.52,3.97,4.15,3,2.76,1.62,0.28,2.42,3.87,4.63,1.49,0.86,0.93,2.04,0.98,1.57,1.45,1.11,0.42,3.78,2.79,2.16,1.4,0.48,4.91,2.03,2.93,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,,3.55,4.9,1.53,1.34,2.14,3.06,1.13,4.47,4.29,2.5,6.8,1,4.4,1.8,4.63,5.05,4.03,3.86,1.33,1.95,1.07,3.63,7.36,2.79,1.39,1.53,1.44,3.25,4.05,2.55,2,3.38,1.67,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
