EDINBURGH (EAST CRAIGS),,,,,,,,,,
Grid ref,NT183735,Long,-3.30978,Lat,55.947565,Elevation,200,ft,,
Station no,5140/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,0.62,2.36
February,,,,,,,,,0.37,2.07
March,,,,,,,,2.29,0.54,1.16
April,,,,,,,,1.75,1.64,0.68
May,,,,,,,,2.13,0.68,1.55
June,,,,,,,,3.55,1.7,0.85
July,,,,,,,,6.2,2.91,2.83
August,,,,,,,,3.4,0.42,4.55
September,,,,,,,,3.41,0.63,1.35
October,,,,,,,,1.33,1.78,3.14
November,,,,,,,,1.18,5.05,2.27
December,,,,,,,,4.08,2.84,2.41
Total,,,,,,,,,19.18,25.22
,,,,,,,,,,
247,EDINBURGH: EAST CRAIGS ,1958-2006,,,,,,,,
