GLENRATH MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT208338,Long,-3.2582176,Lat,55.591366,Elevation,764,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,2.18,4.02,7.21,7.08,3.62,4.74,2.03,9.69,4.31,1.6,1.65,1.65,3.05,5.69,9.88,2.64,4.25,2.71,2.63,1.76,6.15,2.45,,,,,,,,
February,4.17,3.38,5.22,1.38,1.93,1.71,5.07,4.19,2.1,2.16,4.73,2.38,3.15,6.14,3.89,4.82,2.1,3.09,2.65,3.47,1.6,0.3,,,,,,,,
March,1.58,3.76,1.72,2.42,2.66,1.46,2.99,2.51,2.35,2.67,2.13,4.5,5.61,6.59,2.95,2.72,4.08,2.66,2.87,2.05,3.25,1.25,,,,,,,,
April,1.49,3.35,2.51,0.19,2.95,1.72,4.61,2.7,1.62,1.36,4.78,1.03,3.93,2.21,1.75,4.17,3.09,2.41,1.94,3.35,2.2,0.3,,,,,,,,
May,3.18,0.93,3.08,2.16,1.55,2.28,1.17,2.61,4.32,1.69,1.02,3.28,3.47,0.25,3.57,3.42,3.93,1.52,2.59,1.47,2,0.3,,,,,,,,
June,1.96,2.81,3.66,1.01,1.22,2.63,2.44,3.18,2.05,5.62,1.94,2.74,3.12,1.3,1.21,2.55,1.01,1.99,2.48,0.85,4.15,1.85,,,,,,,,
July,1.69,3.57,2.98,4.32,2.9,4.98,1.87,4.69,0.7,4.21,3.5,3.39,4.6,3.05,7.59,1.67,2.81,2.67,4.01,3.18,2.7,3.55,,,,,,,,
August,0.97,2.33,3.74,3.93,5.11,2.92,4.79,6.84,4.04,4.16,0.61,5.56,1.76,2.94,1.19,2.76,1.44,2.03,2.77,2.78,3.65,6.97,,,,,,,,
September,3.14,2.44,5.95,3.28,3.28,4.24,2.78,2.53,5.33,2.55,5.35,2.83,2.95,4.5,2.89,5.42,4.35,4.97,0.91,2.09,4.1,9.4,,,,,,,,
October,4.85,3.43,5.13,5.26,5.97,4.77,4.57,3.78,3.97,1.95,2.7,3.77,3.17,6.1,2.11,3.41,4.71,1.69,2.2,6.47,2.7,7.8,,,,,,,,
November,2.24,2.1,9.2,2.53,5.59,5.43,3.43,6.33,1.69,0.96,6.73,4.99,5.28,4.68,2.7,2.43,3.69,6.57,5.1,1.07,9.4,7,,,,,,,,
December,2.36,4.85,7.61,2.53,3.81,3.75,9.17,2.65,3.74,2.42,2.13,2.58,4.78,3.58,4.78,2.63,4.59,4.22,4.68,4.27,3,11,,,,,,,,
Total,29.81,36.97,58.01,36.09,40.59,40.63,44.92,51.7,36.22,31.35,37.27,38.7,44.87,47.03,44.51,38.64,40.05,36.53,34.83,32.81,44.9,52.17,,,,,,,,
