"BARNET (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,TQ247954,Long,-0.199214,Lat,51.643583,,,,,,,
Station no,904,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.79,2.23,1.10,1.03,3.21,4.20,1.60,2.90,2.57,2.28,,
February,5.28,0.91,2.28,2.59,1.85,0.65,3.38,2.85,0.11,2.25,,
March,3.61,3.49,0.69,3.81,1.28,1.08,1.43,1.45,2.29,1.81,,
April,3.21,1.73,3.10,0.41,0.58,1.26,0.25,1.70,2.54,0.55,,
May,2.38,1.55,1.45,2.16,5.39,0.62,1.64,2.90,0.76,2.27,,
June,0.89,1.74,2.16,4.91,1.93,2.84,1.14,4.55,0.84,1.62,,
July,0.79,0.64,3.16,3.14,0.27,5.17,3.42,3.05,2.02,3.98,,
August,3.82,3.95,2.28,3.39,1.46,6.01,2.31,2.50,1.75,2.28,,
September,3.21,3.79,1.88,2.18,1.61,3.12,2.68,4.10,0.04,4.26,,
October,1.05,3.43,2.97,2.43,3.85,2.54,2.13,2.70,1.89,5.79,,
November,5.47,4.27,1.80,4.02,1.21,0.60,2.36,2.60,2.50,4.26,,
December,1.77,3.31,0.83,1.66,2.17,3.28,2.16,3.90,3.83,3.08,,
Total,34.27,31.04,23.70,31.73,24.81,31.37,24.50,35.20,21.14,34.43,,
Calc annual,34.27,31.04,23.70,31.73,24.81,31.37,24.50,35.20,21.14,34.43,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
