LONGTON HIGH SCHOOL,,,,,,,,,,,,
Grid ref,SJ913425,Long,-2.131021,Lat,52.979773,,,,,,,
Station no,RR8050,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,3.44,,
August,,,,,,,,,,1.80,,
September,,,,,,,,,,3.55,,
October,,,,,,,,,,6.37,,
November,,,,,,,,,,1.55,,
December,,,,,,,,,,5.27,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.98,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
