LONGTON-HIGH-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ910428,Long,-2.1354974,Lat,52.982465,Elevation,500,ft.,,,,,,,,,,,,
Station no,RR8050,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,2.55,1,3.12,3.68,2.08,4.29,1.63,1.68,,
February,,,,,,,,,,,3.41,2.2,1.23,0.92,1.97,3.82,4.35,0.8,,
March,,,,,,,,,,,0.84,1.44,3.67,4.88,3.88,1.32,2.98,0.57,,
April,,,,,,,,,,,3.3,1.28,0.62,3.48,1.11,1.4,2.38,0.59,,
May,,,,,,,,,,,2.38,0.64,2.41,2.3,2.72,1.44,1.97,3.4,,
June,,,,,,,,,,,2.75,3.33,5.3,1.76,1.26,1.72,2.43,2.64,,
July,,,,,,,,,,3.44,4.11,0.34,2.91,1.06,6.09,6.54,4.55,0.92,,
August,,,,,,,,,,1.8,6.14,1.24,6.34,2.37,2.82,2.2,2.7,3.7,,
September,,,,,,,,,,3.55,0.38,1.9,1.83,1.49,1.66,0.67,1.75,1.32,,
October,,,,,,,,,,6.37,1.66,2.69,2.45,2.98,1.81,1.81,2.9,5.18,,
November,,,,,,,,,,1.55,6.87,2.65,3.05,2.6,3.44,2.58,2.55,3.3,,
December,,,,,,,,,,5.27,5.39,6.42,1.41,2.45,6.58,5.07,3,2.65,,
Total,,,,,,,,,,,39.78,25.13,34.34,29.97,35.42,32.86,33.19,26.75,,
,,,,,,,,,,,,,,,,,,,,
NGR is the High School reported as being on Trentham Road. Altitudes match,,,,,,,,,,,,,,,,,,,,
