"DALBEATTIE (FAIRGIRTH)",,,,,,,,,,,,
Grid ref,NX879566,Long,-3.749280,Lat,54.891525,,,,,,,
Station no,5021/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,1.69,5.03,,
February,,,,,,,,,1.22,4.97,,
March,,,,,,,,,2.53,1.94,,
April,,,,,,,,,2.98,4.10,,
May,,,,,,,,,0.77,1.92,,
June,,,,,,,,,3.25,2.34,,
July,,,,,,,,,3.89,4.93,,
August,,,,,,,,,0.76,4.14,,
September,,,,,,,,,2.42,4.22,,
October,,,,,,,,4.05,4.31,4.37,,
November,,,,,,,,2.52,7.90,6.52,,
December,,,,,,,,4.52,7.13,3.80,,
Total,,,,,,,,,38.85,48.28,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.09,38.85,48.28,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
