Rainfall at,THORNTON RESERVOIR
,
Station no,2506,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.79,3.03,3.70,1.61,2.66,1.98,2.88,2.67,4.44,1.49,3.34,
February,1.46,0.28,2.53,4.01,0.65,3.06,3.19,2.06,2.24,0.43,0.96,
March,2.53,1.32,2.05,1.40,1.16,1.24,1.15,2.59,1.86,0.13,2.73,
April,4.70,1.37,2.84,1.72,2.55,1.74,2.23,1.74,1.36,1.14,3.57,
May,2.34,2.29,1.29,1.95,3.91,5.07,3.80,1.34,1.28,1.81,3.12,
June,2.21,0.54,0.93,0.63,2.58,0.03,1.93,4.93,3.52,1.55,1.82,
July,3.65,0.31,4.33,3.89,3.12,2.41,2.54,2.70,1.19,2.18,5.38,
August,0.85,5.05,5.61,2.29,2.83,1.87,2.63,3.31,2.81,2.12,2.74,
September,2.09,0.72,2.55,3.36,3.44,3.33,1.52,5.10,0.82,0.83,4.02,
October,1.44,2.35,0.65,2.87,4.40,3.45,2.72,1.99,4.23,3.86,2.20,
November,0.95,1.67,1.33,2.07,2.30,1.81,4.02,3.76,3.50,5.59,3.55,
December,2.52,2.29,4.07,3.54,2.48,2.44,1.00,2.22,2.06,4.73,2.21,
Total,27.53,21.22,31.88,29.34,32.08,28.43,29.61,34.41,29.31,25.86,35.64,
Calc annual,27.53,21.22,31.88,29.34,32.08,28.43,29.61,34.41,29.31,25.86,35.64,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
