"THORNTON RESERVOIR",,,,,,,,,,,,
Grid ref,SK473072,Long,-1.302116,Lat,52.660465,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.84,1.24,0.99,1.90,3.00,0.87,3.58,1.07,1.23,1.18,,
February,3.93,1.35,1.41,0.98,3.52,0.80,3.34,1.07,1.63,0.63,,
March,1.01,2.15,1.48,3.28,1.67,2.96,1.71,1.49,2.93,2.79,,
April,0.97,1.58,1.85,2.01,1.19,1.77,0.74,1.81,3.51,1.25,,
May,1.47,0.67,2.94,3.07,1.59,0.21,2.23,3.66,1.39,1.44,,
June,3.09,2.25,2.06,2.04,0.39,2.01,3.16,3.16,1.54,3.17,,
July,1.85,3.79,1.57,1.73,3.46,1.25,1.14,2.98,3.10,3.71,,
August,3.76,1.74,2.54,3.92,3.64,3.25,1.39,2.37,3.04,2.12,,
September,0.42,0.92,1.41,2.54,1.81,2.06,1.06,0.78,1.75,2.37,,
October,2.54,1.34,2.07,5.76,0.68,1.27,5.21,4.88,0.80,2.92,,
November,2.78,1.16,1.71,1.99,1.58,2.42,3.24,1.96,1.27,0.68,,
December,4.66,4.61,1.34,1.36,1.89,0.81,2.43,3.24,1.66,4.29,,
Total,30.32,22.80,21.37,30.58,24.42,19.68,29.23,28.47,23.85,26.55,,
Calc annual,30.32,22.80,21.37,30.58,24.42,19.68,29.23,28.47,23.85,26.55,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
