"WEST BURTON (FLANDERS HALL)",,,,,,,,,,,,
Grid ref,SE019872,Long,-1.972320,Lat,54.280436,,,,,,,
Station no,3420,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.50,0.83,,3.09,4.19,5.06,3.87,,,,
February,,0.53,1.75,,2.34,2.11,3.39,4.51,,,,
March,,2.25,0.83,,1.78,1.44,2.15,1.98,,,,
April,,1.78,2.52,,0.83,1.37,0.27,,,,,
May,,1.97,2.65,,3.60,1.08,1.78,,,,,
June,,1.61,2.95,,2.18,2.69,1.59,,,,,
July,,1.25,2.84,,0.90,4.97,3.66,,,,,
August,4.01,2.93,3.70,,0.54,7.79,5.71,,,,,
September,1.85,4.29,3.44,,1.55,3.52,3.13,,,,,
October,2.76,4.78,2.55,7.62,3.16,2.19,4.00,,,,,
November,9.34,1.82,3.03,7.86,2.39,1.11,2.30,,,,,
December,8.27,2.55,1.96,4.51,4.79,4.45,4.07,,,,,
Total,,29.26,29.05,,27.15,36.91,37.11,,,,,
Calc annual,26.23,29.26,29.05,19.99,27.15,36.91,37.11,10.36,0.00,0.00,,
Difference,NaN,0.00,-0.00,NaN,0.00,-0.00,0.00,NaN,NaN,NaN,,
