WEST BURTON - FLANDERS HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE019872,Long,-1.972,Lat,54.280,Elevation,520,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958
January,1.53,8.10,3.22,5.88,3.56,4.00,2.01,5.74,5.05,7.43,8.10,1.83,3.19,3.44,5.87,4.62,3.63,4.53,3.53,8.49,1.97,,,3.50,0.83,,3.09,4.19,5.06,3.87
February,0.55,1.30,3.68,0.45,4.55,0.25,6.85,2.67,6.69,1.93,4.30,1.95,5.18,1.77,3.35,1.41,4.68,4.21,,3.30,3.84,,,0.53,1.75,,2.34,2.11,3.39,4.51
March,0.56,3.20,0.76,2.56,2.20,4.32,1.19,2.11,2.90,1.00,3.83,2.52,3.36,2.23,1.87,0.53,1.44,1.46,5.12,3.52,0.80,,,2.25,0.83,,1.78,1.44,2.15,1.98
April,1.17,3.67,2.91,3.62,1.05,3.44,3.64,1.01,2.63,0.45,1.46,2.14,3.85,2.34,2.93,2.36,2.25,1.40,6.32,3.30,4.21,,,1.78,2.52,,0.83,1.37,0.27,
May,1.85,1.25,2.64,3.69,2.83,3.03,0.81,1.45,3.22,2.93,1.10,1.85,1.84,3.72,3.62,1.47,3.93,2.26,1.98,1.23,1.55,,,1.97,2.65,,3.60,1.08,1.78,
June,1.00,1.46,5.12,2.39,2.66,1.55,3.71,5.00,1.24,4.17,2.42,0.29,0.27,0.91,2.44,2.05,2.82,2.71,4.81,4.45,0.43,,,1.61,2.95,,2.18,2.69,1.59,
July,2.44,4.10,3.54,3.34,2.61,1.59,0.86,3.20,2.13,2.97,3.65,4.20,1.98,2.35,1.74,2.38,1.74,3.22,1.99,0.82,2.02,,,1.25,2.84,,0.90,4.97,3.66,
August,2.09,4.93,3.19,1.06,0.84,2.34,1.54,1.83,1.50,3.45,2.50,0.79,3.33,3.26,4.51,1.90,3.61,6.03,0.14,3.89,3.40,,4.01,2.93,3.70,,0.54,7.79,5.71,
September,1.36,3.56,3.21,4.03,1.96,2.37,6.04,2.97,2.12,1.78,1.36,2.00,0.29,1.96,3.68,5.02,2.79,4.68,2.97,2.62,1.45,,1.85,4.29,3.44,,1.55,3.52,3.13,
October,4.47,4.93,1.68,4.82,3.33,5.78,6.59,3.85,2.76,9.69,3.33,4.53,4.40,3.32,4.01,4.39,6.50,1.76,1.44,1.84,4.89,,2.76,4.78,2.55,7.62,3.16,2.19,4.00,
November,6.15,4.27,5.14,3.33,3.45,1.92,6.92,4.00,1.55,6.42,6.10,5.08,3.38,1.28,2.53,6.98,0.75,7.52,4.60,2.42,5.23,,9.34,1.82,3.03,7.86,2.39,1.11,2.30,
December,10.34,4.03,2.38,2.69,0.62,5.32,2.27,6.69,2.36,4.12,2.08,3.32,2.01,3.89,2.97,4.68,2.53,4.18,3.28,4.61,7.22,,8.27,2.55,1.96,4.51,4.79,4.45,4.07,
Total,33.51,44.80,37.47,37.86,29.66,35.91,42.43,40.52,34.15,46.34,40.23,30.50,33.08,30.47,39.52,37.79,36.67,43.96,,40.49,37.01,,,29.26,29.05,,27.15,36.91,37.11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for January 1940 is part estimated and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for February 1947 is an estimate and has been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The 1950s sheet says the gauge moved to the Gardener's cottage temporarily in October 1954, but there are no details of where this is, nor any sign that the gauge returned to its normal location.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
