MIDHURST-JUNE-LANE (PEACHEY HOUSE),,,,,,,,,,
Grid ref,SU8848821306,Long,-0.7407542,Lat,50.984369,Elevation,97,ft,,
Station no,458,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,0.89,6.19,,,,
February,,,,,5.25,3.04,,,,
March,,,,,0.65,1.91,,,,
April,,,,,4.03,2.42,,,,
May,,,,,1.06,0.38,,,,
June,,,,,3.16,3.79,,,,
July,,,,,0.72,4.25,,,,
August,,,,,2.92,0.41,,,,
September,,,,,4.42,1.95,,,,
October,,,,,5.47,1.31,,,,
November,,,,4.12,8.25,5.69,,,,
December,,,,11.04,5.17,3.81,,,,
Total,,,,,41.99,35.15,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1937 Gauge moved back to June Lane,,,,,,,,,,
