"BATHEASTON",,,,,,,,,,,,
Grid ref,ST769685,Long,-2.333554,Lat,51.415042,,,,,,,
Station no,1988,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.61,2.10,1.68,3.90,3.20,0.58,4.62,,1.58,1.23,,
February,5.48,0.80,0.91,1.81,3.57,0.88,2.04,,1.71,0.65,,
March,1.30,2.54,1.75,3.82,1.87,3.66,1.98,,2.82,3.21,,
April,1.48,2.72,1.45,3.31,1.76,2.62,1.34,,3.13,2.32,,
May,2.33,1.19,2.06,4.60,2.21,0.12,1.92,,1.19,1.62,,
June,1.77,1.96,3.23,4.22,1.52,3.40,2.72,,0.99,3.48,,
July,0.98,2.70,1.46,2.68,2.73,0.51,1.02,,2.80,2.56,,
August,2.93,1.84,3.13,3.92,2.74,4.56,2.22,,3.80,3.14,,
September,0.57,2.46,1.29,2.52,1.55,1.85,1.33,,2.35,3.50,,
October,3.18,1.60,2.20,6.86,0.81,1.87,4.55,,1.81,4.39,,
November,2.90,0.71,2.40,2.35,1.97,3.38,3.24,,1.20,1.06,,
December,6.50,6.08,2.51,2.28,2.08,1.11,1.88,,2.71,4.69,,
Total,33.03,26.70,24.07,42.27,26.01,24.54,28.86,,26.09,31.85,,
Calc annual,33.03,26.70,24.07,42.27,26.01,24.54,28.86,0.00,26.09,31.85,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,,
