SPAXTON-DORE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST223374,Long,-3.11161,Lat,51.13128,Elevation,180,ft,,,,,,,,,,,,
Station no,2083/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.08,2.8,2.78,3.17,6.5,0.69,0.64,3.77,4,0.54,2.46,,,,,,
February,,,1.73,0.83,2.47,2.06,2.26,1.14,2.02,6.33,4.4,1,1.74,3.9,,,,,,
March,,,1.43,0.24,0.61,0.98,6.31,1.37,1.89,0.81,4.25,2.4,0.78,4.53,,,,,,
April,,,0.87,2.22,1.19,3.8,3.08,1.75,2.32,2.76,4.17,2.8,3.77,0.26,,,,,,
May,,,3.28,2.39,4.32,5.69,2.78,3.61,2.65,2.38,3.75,5,1.94,2.15,,,,,,
June,,,0.78,2.6,2.41,2.28,1.77,2.22,0.63,1.68,0.81,1.95,2.61,3.4,,,,,,
July,,,2.96,1.73,2.94,2.03,1.38,1.76,4.22,4.22,2.07,0.5,3.16,2.88,,,,,,
August,,,4.08,2.48,2.08,4.9,1.18,3.95,1.16,4.95,4.8,6.15,3.33,,,,,,,
September,,,4.2,3.03,2.47,3.71,1.21,1.64,4.22,4.76,2.44,3.09,3.56,,,,,,,
October,,,2.77,3.87,3.15,0.69,0.71,4.12,6.94,2.03,1.24,4.78,3.09,,,,,,,
November,,,3.26,6.04,1.63,6.27,2.59,1.66,5.22,6.63,7.8,4.63,2.48,,,,,,,
December,,,2.78,3.66,5.96,4.59,2.64,5.69,1.5,2.09,2.73,3.16,1.17,,,,,,,
Total,,,,31.17,32.03,39.78,29.08,35.41,33.46,39.28,42.23,39.46,28.17,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dore House Splatt Lane,,,,,,,,,,,,,,,,,,,,
1943 Station started in Feb,,,,,,,,,,,,,,,,,,,,
Gauge moved from Spaxton Goods Farm 2080/2/7 2 miles SW,,,,,,,,,,,,,,,,,,,,
1951 Monthly totals and max daily falls for each month received,,,,,,,,,,,,,,,,,,,,
1954 July Terminated Observer died and wife continued until she left the house,,,,,,,,,,,,,,,,,,,,
