"ORCHARDLEIGH PARK",,,,,,,,,,,,
Grid ref,ST774514,Long,-2.325274,Lat,51.261307,,,,,,,
Station no,1962,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.14,3.81,0.95,2.30,4.82,5.24,3.25,3.69,6.35,4.01,,
February,5.42,0.83,1.84,4.02,2.06,0.20,5.38,4.96,0.39,3.01,,
March,3.73,3.97,1.09,4.65,1.50,1.14,2.76,1.56,4.81,2.34,,
April,3.19,2.19,2.91,0.29,0.99,1.50,0.36,1.02,2.90,1.92,,
May,3.40,4.58,2.72,3.43,4.39,0.68,2.17,3.35,1.75,1.20,,
June,1.50,4.11,1.97,4.37,4.10,2.55,1.68,4.82,3.53,3.26,,
July,1.62,0.79,3.85,3.39,0.42,2.79,5.47,3.64,2.51,6.54,,
August,5.92,6.64,2.75,4.25,0.29,4.83,3.88,5.01,1.10,3.17,,
September,3.42,3.81,4.39,3.96,2.22,4.75,4.65,6.53,0.15,4.10,,
October,0.80,5.24,3.36,3.30,2.43,3.14,3.08,3.59,3.86,8.30,,
November,10.48,4.67,1.89,7.53,3.81,0.72,2.59,2.46,4.62,5.47,,
December,3.39,3.57,0.74,3.34,5.03,4.53,3.52,4.58,8.30,4.77,,
Total,47.01,44.21,28.46,44.83,32.06,32.07,38.79,45.21,40.27,48.09,,
Calc annual,47.01,44.21,28.46,44.83,32.06,32.07,38.79,45.21,40.27,48.09,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
