FROME-ORCHARDLEIGH-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST774514,Long,-2.325274,Lat,51.261307,Elevation,307,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.9,1.53,2.96,3.07,3.89,0.69,1.91,0.58,5.42,3.66,1.96,1.14,4.22,3.51,0.55,5.22,0.92,1.37,0.96,3.14,1.49,5.05,4.84,0.97,4.22,1.83,,,,,,3.84,2.23,4.03,3.88,4.36,3.91,6.93,1.34,5.64,2.66,4.13,2.63,2.93,0.82,4.9,5.88,1.62,6.23,3.22,4.12,4.94,6.2,2.39,3.09,,,6.87,1.1,0.44,4.14,3.81,0.95,2.3,4.82,5.24,3.25,3.69,6.35,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,0,2.08,5.03,2.73,0.13,0.62,3.14,2.41,3.55,5.5,1.12,1.02,2.06,4.41,0.56,2.91,1.46,1.26,0.5,4.21,2.39,2.39,1.39,4.56,7.02,5.27,,,,,,4.37,6.18,0.32,5.09,2.49,2.5,2.39,0.85,0.93,2.42,0.08,3.89,0.14,2.75,2.55,7.48,4.15,2.09,3.14,3.21,0.44,1.59,0.55,3.72,,,1.7,1.94,6.41,5.42,0.83,1.84,4.02,2.06,0.2,5.38,4.96,0.39,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,3.38,0.99,0.66,2.99,3,3.87,3.65,0.72,0.98,1.73,2.5,1.85,4.58,2.21,4.65,1.71,0.78,3.27,3.67,0.73,1.65,5.79,3.22,5.69,1.02,3.79,,,,,,2.79,1.77,1.11,0.29,0.52,3.99,2.68,0.18,1.86,0.65,2.42,3.48,2.77,1.16,3.04,4.03,0.11,1.79,2.82,4.05,1.9,1.08,0.68,1.39,,6.46,1.41,1.34,1.72,3.73,3.97,1.09,4.65,1.5,1.14,2.76,1.56,4.81,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,0.76,0.65,0.13,2.35,2.97,0.87,2.79,2.01,3.31,1.78,2.13,1.93,3.15,1.64,2.44,1.13,3.33,2.25,1.81,2.67,1.66,0.32,3.43,1.81,1.17,1.1,,,,,,3.02,2.25,3.5,1.8,3.46,1.74,1.3,0.9,1.84,2.44,3.06,1.17,1.83,5.68,2.47,3.13,0.11,3.91,2.17,1.79,1.65,1.1,1.54,1.45,,2.57,1.65,1.92,3.05,3.19,2.19,2.91,0.29,0.99,1.5,0.36,1.02,2.9,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,2.77,0.79,1.94,1.54,0.38,0.16,1.34,3.59,2.49,1.92,1.44,2.17,3.9,2.9,0.25,3.65,3.15,1.8,1.24,1.8,1.54,1.23,2.69,1.46,3.63,2.29,,,,,,0.44,1.29,4.97,5.67,3.68,1.12,1.05,2.14,1.46,2.65,5.08,2.02,1.28,1.53,0.99,1.56,1.94,1.2,2.03,2.04,5.97,3.2,0.71,3.32,,2.88,4.59,3.92,2.44,3.4,4.58,2.72,3.43,4.39,0.68,2.17,3.35,1.75,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.9,1.64,1.3,2.69,0.88,1.52,2,1.91,1.49,2.28,1.3,3.24,4.59,1.2,3.64,2.96,2.11,0.4,3.04,4.97,1.65,3.74,0.91,1.74,0.63,2.89,4.82,,,,,1.58,0.5,1.7,0,2.76,3.25,2.38,1.12,1.48,2.21,1.41,1.48,1.49,4.01,3.57,2.98,1.5,3.17,0.61,2.73,0.25,1.41,2.46,4.54,,1.9,2.56,0.19,1.98,1.5,4.11,1.97,4.37,4.1,2.55,1.68,4.82,3.53,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,2.11,2.03,4.48,4.58,3.44,0.71,2.46,0.4,0.29,0.42,3.55,1.42,3.85,2.65,0.44,0.99,2.3,2.16,3.12,2.78,0.05,3.53,0.37,3.27,4.65,0.97,,,,,,2.71,1.51,3.9,4.08,2.2,4.72,2.24,2.09,2.55,3.83,5.18,4,3.05,0.5,6.75,2.86,4.13,6.35,3.11,1.98,2.04,2.53,,2.3,,2.51,1.98,2.02,5.81,1.62,0.79,3.85,3.39,0.42,2.79,5.47,3.64,2.51,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,6.57,3.97,1.53,2.43,2.94,3.07,4.99,2.12,0.96,3.09,1.72,4.1,5.75,3.13,3.24,1.52,2.12,4.35,2.81,3.9,1.34,7.03,1.15,2.98,2.94,5.24,,,,,,4.8,4.33,2.74,2.56,1.69,3.95,3.44,2.51,4.2,5.48,0.92,1.19,2.31,2.02,0.49,0.58,3.7,4.07,0.07,5.64,4.69,3.45,3.44,2.54,,0.92,4.15,3.09,4.53,5.92,6.64,2.75,4.25,0.29,4.83,3.88,5.01,1.1,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,2.1,3.32,1.9,2.93,0.89,6.63,2.63,0.97,3.11,0.91,2.07,1.69,2.5,1.9,1.57,0.86,0.67,2.72,3.21,0.19,0.91,0.82,2.68,1.33,1.97,2.08,,,,,,1.93,3.01,4.36,3.4,1.35,7.41,1.67,0.41,4.19,1.63,4.23,2.91,3.11,6.4,4.43,2.62,3.79,0.9,2.3,0.55,1.73,3.61,,3.19,,1.69,2.12,1.68,4.28,3.42,3.81,4.39,3.96,2.22,4.75,4.65,6.53,0.15,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,10.07,3.87,3.01,4.15,3.46,2.79,1.47,3.89,2.54,3.16,1.98,2.36,9.75,1.2,1.74,6.44,5.39,1.88,7.5,4.37,3.26,5.05,2.88,3.44,4.64,5.58,,,,,,1.72,5.2,6.33,3.94,3.93,3.29,5.53,5.22,2.27,1.08,6.55,3.33,2.47,5.05,2.42,4.44,7.45,3.87,4.84,1.97,4.04,3.81,5.1,5.54,,0.3,4.94,7.32,1.7,0.8,5.24,3.36,3.3,2.43,3.14,3.08,3.59,3.86,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
