Rainfall at,WORCESTER BEVERE LOCK
,
Station no,2404,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.89,2.46,3.46,1.13,2.86,1.33,2.96,3.07,3.58,1.29,3.94,
February,0.83,0.25,2.68,4.96,0.50,2.58,2.15,2.43,1.74,0.67,0.45,
March,2.85,1.08,2.13,1.47,0.93,0.59,0.50,2.09,2.33,0.11,2.04,
April,3.86,1.29,1.93,2.93,3.24,1.81,1.99,1.34,1.27,0.64,-999.00,
May,1.54,1.51,1.29,1.83,5.98,2.94,2.77,1.66,1.35,1.55,2.05,
June,2.32,0.77,0.68,0.34,1.33,0.04,1.34,3.11,2.15,1.73,1.11,
July,4.68,0.94,4.81,2.72,3.05,2.81,1.78,3.77,1.27,1.45,2.55,
August,0.68,2.93,3.48,1.43,2.20,2.09,1.89,4.02,1.40,1.50,2.64,
September,2.06,0.89,2.28,1.68,3.19,3.81,0.79,3.87,0.67,0.93,4.24,
October,2.75,1.79,0.30,3.79,3.95,3.09,2.42,1.46,4.34,3.88,3.01,
November,0.68,1.96,1.01,1.45,2.49,1.72,5.88,2.82,2.24,7.25,2.60,
December,2.21,1.38,3.46,2.41,2.93,2.49,0.35,2.34,1.83,5.76,2.79,
Total,27.35,17.25,27.51,26.14,32.65,25.30,24.82,31.98,24.17,26.76,29.89,
Calc annual,27.35,17.25,27.51,26.14,32.65,25.30,24.82,31.98,24.17,26.76,27.42,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.47,
