POTTON-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL221485,Long,-0.217998,Lat,52.121339,Elevation,111,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1176/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,0.9,1.33,2.93,2.72,2.32,3.21,1.72,3.22,2.11,3.27,,2.74,0.85,,3.08,0.84,1.42,2.26,1.41,1,0.72,1.81,3.4,1.38,2.23,2.94,2
February,,,,0.58,1.59,1.78,3.21,0.37,0.5,1.97,1.59,1.05,0.42,,1.06,1.83,,0.64,0.84,3.02,3.08,0.52,1.55,1.71,1.38,0.81,2.56,2.18,0.09,1.58
March,,,,1.34,0.35,0.62,3.28,0.27,1.57,2.53,3.26,0.8,0.72,,0.43,1.34,3.97,0.56,1.07,0.56,2.59,2.65,0.51,2.12,1.45,0.62,1.72,1.07,2.11,1.38
April,,,,0.96,2.66,1.43,2.19,0.11,3.25,1.38,0.58,0.91,0.72,,0.51,1.16,1.6,1.72,1.45,1.85,2.87,1.2,1.93,0.21,0.63,1.18,0.47,0.85,1.44,0.36
May,,,,0.63,1.01,0.67,3.47,1.75,1.18,0.83,2,2.19,1.45,,1.87,2.13,0.61,2.46,1.23,3.72,1.96,3.35,1.7,3.06,3.68,0.33,1.13,1.66,0.55,0.92
June,,,,1.4,2.09,4.98,1.48,0.51,1.91,0.69,1.3,0.58,3.23,,1.83,2.15,1.68,2.88,0.72,1.09,1.52,1.52,2.01,2.31,2.4,3.5,1.69,4.99,0.48,2.06
July,,,,1.18,0.61,4.88,1.75,1.01,2.7,3.46,2.09,2.95,0.71,,1.67,1.42,2.16,0.94,3.2,6.32,0.95,0.42,2.34,2.82,0.33,3.54,2.68,2.49,2.35,3.38
August,,,,2.16,1.39,0.36,2.49,3.48,3.32,0.12,3.52,1.83,1.54,,1.85,4.14,0.05,3.55,1.06,3.14,3.69,3.45,2.04,4.01,0.68,3.72,2.21,2.91,0.75,3.09
September,,,,1.29,3.61,2.5,2.63,1.31,0.89,0.71,0.33,1.29,1.19,,2.43,3.72,0.97,1.73,0.5,2.88,2.05,2.31,0.97,1.73,1.71,2.39,2.89,2.51,0.09,3.78
October,,,,1.58,2.24,1.44,2.1,2.37,3.68,1.79,2.4,2.82,1.83,,2.47,1.38,0.21,1.94,3.97,0.91,1.2,1.65,2.34,1.71,2,1.54,1.74,1.72,1.56,4.51
November,,,,1.33,3.97,2.45,2.12,1.78,3.03,6.96,2.32,2.1,0.91,,0.4,4.21,1.09,1.23,2.69,3.73,3.16,2.98,1.32,3.45,1.1,0.92,1.51,1.73,1.4,3.31
December,,,,3.1,1.58,1.61,2.66,3.6,1.11,1.34,1.04,1.69,0.8,,2.2,1.62,2.48,1.45,1.3,1.17,1.01,1.91,0.65,1.92,2.02,2.27,2.27,2.17,3.02,3.01
Total,,,,16.45,22.43,25.65,30.1,18.88,26.35,23.5,23.65,20.32,16.79,,19.46,25.95,,22.18,18.87,29.81,26.34,23.37,18.36,25.77,19.19,24.22,22.25,26.51,16.78,29.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan Feb estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
