"TOLLESHUNT D'ARCY (OXLEY HILL)",,,,,,,,,,,,
Grid ref,TL915137,Long,0.775235,Lat,51.789171,,,,,,,
Station no,1295/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.92,1.56,0.86,,,,,,,,,
February,3.94,0.82,0.90,,,,,,,,,
March,2.14,3.01,0.22,,,,,,,,,
April,2.32,1.01,1.67,,,,,,,,,
May,2.25,1.45,1.25,,,,,,,,,
June,0.97,1.67,2.13,,,,,,,,,
July,1.60,0.59,2.87,,,,,,,,,
August,2.88,1.44,1.75,,,,,,,,,
September,2.16,3.12,1.56,,,,,,,,,
October,0.75,1.74,2.07,,,,,,,,,
November,3.11,4.61,1.02,,,,,,,,,
December,1.43,2.26,0.84,,,,,,,,,
Total,25.47,23.28,17.14,,,,,,,,,
Calc annual,25.47,23.28,17.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
