BUXTON-SUNNYMEAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TG228224,Long,1.3000652,Lat,52.753251,Elevation,50,ft,,,,,,,,,,,,
Station no,1431/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.59,2.81,2.56,3.88,2.66,5.08,1.85,2.65,3.57,,,,,,,,
February,,,,0.89,2.03,2.7,2.77,0.82,0.97,1.48,2.36,1.33,,,,,,,,
March,,,,1.36,0.55,0.51,2.92,0.42,2.18,2.97,3.31,1.96,,,,,,,,
April,,,,2.37,2.5,1.24,2.44,0.65,2.42,1.45,1.01,0.71,,,,,,,,
May,,,,2.25,1,1.44,2.48,2.05,0.99,1.16,2.38,2.53,,,,,,,,
June,,,,1.18,2.37,3.02,1.3,1.03,1.8,0.45,0.91,1.89,,,,,,,,
July,,,,1.06,1.05,4.07,3.49,1.67,0.98,3.34,1.94,3.57,,,,,,,,
August,,,,1.52,2.05,1.47,0.9,1.02,1.77,1.11,4.03,1.28,,,,,,,,
September,,,,2.7,3.13,2.92,2.35,2.27,1.25,1.2,0.34,1.74,,,,,,,,
October,,,,1.91,3.15,2.24,1.59,3.2,6.77,2.72,3.75,3.44,,,,,,,,
November,,,2.29,1.53,3.91,3.03,2.87,2.02,4.61,6.39,2.67,3.07,,,,,,,,
December,,,0.78,3.55,1.63,1.85,3.93,3.87,2.52,2.61,1.32,,,,,,,,,
Total,,,,21.91,26.18,27.05,30.92,21.68,31.34,26.73,26.67,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1942 Dec estimated,,,,,,,,,,,,,,,,,,,,
