"HANDOIS RESERVOIR",,,,,,,,,,,,
Grid ref,WV632536,Long,-2.131949,Lat,49.230940,,,,,,,
Station no,4431/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.65,5.62,0.89,2.93,4.04,5.95,2.54,7.07,5.44,4.08,,
February,4.02,1.59,1.77,3.01,4.28,0.59,7.50,4.62,0.19,4.19,,
March,4.02,4.27,0.25,3.16,1.43,0.78,2.51,3.83,2.39,2.99,,
April,2.74,2.25,3.75,0.75,0.42,0.86,0.88,0.85,4.06,1.90,,
May,4.13,1.24,1.74,1.61,2.83,1.24,1.22,3.15,2.36,2.88,,
June,2.23,0.54,1.23,2.02,2.38,1.78,1.03,3.33,0.68,1.69,,
July,1.68,1.20,3.11,2.92,1.43,2.20,2.53,1.29,0.75,4.20,,
August,6.75,4.04,1.36,3.44,0.90,5.24,2.62,4.48,2.08,5.20,,
September,5.26,8.38,2.84,4.81,2.73,2.39,4.42,3.21,0.62,3.12,,
October,0.83,5.45,2.54,3.13,3.62,2.54,2.15,4.06,4.08,5.89,,
November,7.91,5.58,2.45,5.34,1.51,1.76,2.90,3.83,5.48,6.14,,
December,5.50,6.89,1.17,3.94,5.78,5.15,3.36,4.67,8.03,7.35,,
Total,48.72,47.05,23.10,37.06,31.35,30.48,33.66,44.39,36.16,49.63,,
Calc annual,48.72,47.05,23.10,37.06,31.35,30.48,33.66,44.39,36.16,49.63,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
