HANDOIS-RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,WV631534,Long,-2.133,Lat,49.2306,Elevation,272,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,4431/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,3.03,3.8,1.03,7.08,5.9,5.87,6.8,3.61,5.05,5.01,5.68,2.91,4.6,2.64,3.9,6.65,2.15,2.06,3.65,5.62,0.89,2.93,4.04,5.95,2.54,7.07,5.44,4.08
February,,,4.14,0.21,5.01,3.52,8.04,1.87,1.83,3.87,5.68,0.8,2.5,1.32,2.77,2.96,2.2,1.28,0.69,5.18,4.02,1.59,1.77,3.01,4.28,0.59,7.5,4.62,0.19,4.19
March,,,1.81,4.51,1.42,3.17,4.4,0.37,2.39,4,4.09,3.4,1.03,0.34,0.63,1.62,6.44,1.22,1.47,1.52,4.02,4.27,0.25,3.16,1.43,0.78,2.51,3.83,2.39,2.99
April,,,1.69,1.96,3.5,2.27,3.1,0.1,1.89,1.78,3.31,1.48,1.54,3.02,1.39,2.56,2.87,3.27,1.07,1.81,2.74,2.25,3.75,0.75,0.42,0.86,0.88,0.85,4.06,1.9
May,,,2.82,0.9,2.13,1.05,2.65,0.93,1.01,1.7,2.16,5.39,2.46,0.78,2.16,3.33,1.48,1.63,1.28,2.28,4.13,1.24,1.74,1.61,2.83,1.24,1.22,3.15,2.36,2.88
June,,,2.12,1.15,4.23,2.75,0.87,0.43,2.38,0.14,2.44,0.61,1.06,1.96,1.81,2.46,3.22,1.71,0.41,1.78,2.23,0.54,1.23,2.02,2.38,1.78,1.03,3.33,0.68,1.69
July,,,2.69,0.47,0.95,5.79,1.48,2.52,3.79,4.67,2.32,2.51,3.61,4.27,2.26,2.51,1.68,1.67,0.28,3.58,1.68,1.2,3.11,2.92,1.43,2.2,2.53,1.29,0.75,4.2
August,,,2.43,4.31,2.9,1.26,1.25,2.5,1.58,0.05,7.93,3.93,2.05,1.89,3.04,5.86,1.71,2.76,1.07,4.05,6.75,4.04,1.36,3.44,0.9,5.24,2.62,4.48,2.08,5.2
September,,,2.44,2.86,3.81,3.18,3.2,1.97,0.67,2.79,0.39,4.7,3.18,2.5,2.28,3.43,2.1,1.91,3.53,5.89,5.26,8.38,2.84,4.81,2.73,2.39,4.42,3.21,0.62,3.12
October,,,3.06,4.97,5.28,1.68,3.58,5.19,6.51,3.89,1.74,5.07,3.67,5.23,2.37,1.01,1.51,3.85,7.4,2.94,0.83,5.45,2.54,3.13,3.62,2.54,2.15,4.06,4.08,5.89
November,,,2.27,3.61,7.95,5.7,3.74,5.94,5.04,10.29,3.16,2.54,4.17,8.73,1.33,4.56,5.12,2.91,7.71,9.19,7.91,5.58,2.45,5.34,1.51,1.76,2.9,3.83,5.48,6.14
December,,,2.54,8.86,7.71,2,6.19,5.27,3.48,5.51,3.65,4.84,3.16,3.63,5.26,4.6,5.36,3.82,2.68,6.04,5.5,6.89,1.17,3.94,5.78,5.15,3.36,4.67,8.03,7.35
Total,,,31.04,37.61,45.92,39.45,44.4,32.96,37.37,42.3,41.92,40.28,34.11,36.58,29.9,37.54,37.59,32.68,29.74,46.32,48.72,47.05,23.1,37.06,31.35,30.48,33.66,44.39,36.16,49.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID  16569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Still in use 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
