MONIFIETH SEA VIEW,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 49479 32449,Long,-2.821869,Lat,56.481427,Elevation,83,ft,,,,,,,,,,,,
Station no,RR8824,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,1.8,1.82,0.99,2.34,0.86,1.51,,,,,,,
February,,,,,,,,0.8,0.82,1.42,2.2,0.1,1.8,,,,,,,
March,,,,,,,,0.81,2.76,1.28,1.74,2.19,0.63,,,,,,,
April,,,,,,,,1.53,1.32,3.05,0.44,0.61,0.67,,,,,,,
May,,,,,,,,0.83,1.99,1.41,2.06,1.82,3.19,,,,,,,
June,,,,,,,,0.63,2.29,0.95,2.82,0.51,2.66,,,,,,,
July,,,,,,,3.69,1.81,5.27,2.6,3.21,2.98,1.71,,,,,,,
August,,,,,,,1.11,2.72,1.62,5.59,2.21,4.05,4.6,,,,,,,
September,,,,,,,2.44,3.43,0.34,0.51,2.4,4.69,1.01,,,,,,,
October,,,,,,,2.94,0.79,1.33,2.49,2.12,2.16,3.96,,,,,,,
November,,,,,,,1.63,3.68,5.55,0.69,4.38,2.89,1.87,,,,,,,
December,,,,,,,1.92,1.21,1.83,1.07,1.94,3.12,0.9,,,,,,,
Total,,,,,,,,20.04,26.94,22.05,27.86,25.98,24.51,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8824,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
