FOLKESTONE-CHERITON-ROAD (SURRENDEN ROAD),,,,,,,,,,
Grid ref,TR206369,Long,1.1487031,Lat,51.088971,Elevation,142,ft,,
Station no,264/7,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,0.76,1.88,1.07
February,,,,,,,,1.3,1.4,0.7
March,,,,,,,,0.82,1.96,4.02
April,,,,,,,,1.93,2.14,1.93
May,,,,,,,,2.29,1.05,
June,,,,,,,2.4,1.47,1.33,
July,,,,,,,1.01,1.51,2.88,
August,,,,,,,0.8,1.94,3.18,
September,,,,,,,1.86,0.36,1.76,
October,,,,,,,3.41,5.62,1.61,
November,,,,,,,5.87,1.58,1.43,
December,,,,,,,2.42,2.2,3.28,
Total,,,,,,,,21.78,23.9,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1906 May 9 Gauge moved,,,,,,,,,,
1909 May Gauge moved,,,,,,,,,,
