FOLKESTONE-CHERITON-ROAD (LIMES ROAD),,,,,,,,,,
Grid ref,TR210364,Long,1.1541001,Lat,51.084328,Elevation,160,ft,,
Station no,264/7,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,2.61,3.84,1.16,3.52,,,
February,,,,1.27,2.72,0.78,2.46,,,
March,,,,2.45,1.67,3.91,2.14,,,
April,,,,2.53,1.23,2.86,1.25,,,
May,,,,3.47,1.81,1.11,,,,
June,,,,2.92,1.01,4.99,,,,
July,,,,3.92,0.79,1.15,,,,
August,,,2.89,4.21,1.49,2.24,,,,
September,,,2.1,2.06,1.74,3.39,,,,
October,,,2.53,4.32,2.16,2.59,,,,
November,,,1.77,3.15,1.17,5.18,,,,
December,,,3.6,3.3,2.9,0.68,,,,
Total,,,,36.21,22.53,30.04,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1906 May 9 Gauge moved,,,,,,,,,,
