FORT AUGUSTUS (ARDACHIE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH380076,Long,-4.678102,Lat,57.130668,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5701/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.27,2.36,8.62,9.32,4.35,0.81,0.54,3.78,4.69,8.42,4.54,6.23,4.09,5.64,8.9,5.06,5.31,6.09,,,,,,,,
February,,,,,8.97,1.91,4.42,5.05,7.43,1.42,4.3,2.53,6.53,3.23,7.63,4.36,0.29,6.77,8.69,7.01,3.92,2.43,,,,,,,,
March,,,,,3.53,2.34,1.42,7.41,5.1,2.98,1.71,1.16,4.52,2.12,4.99,2.54,2.09,5.37,2.71,2.99,2.56,2.56,,,,,,,,
April,,,,,2.16,1.86,0.5,1.02,2.66,2.96,2.06,1.48,5.1,2.91,1.34,1.86,9.52,3.91,5.41,5.31,5.98,2.19,,,,,,,,
May,,,,,0.81,1.31,1.99,2.94,1.09,1.59,1.73,2.52,3.49,4.79,4.23,1.6,2.31,3.04,2.6,1.57,0.92,2.49,,,,,,,,
June,,,,,3.98,1.17,2.06,5.11,2.04,1.29,0.8,2.35,4.79,4.79,4.54,3.91,4.33,4.23,1.27,2.9,2.43,2.73,,,,,,,,
July,,,,,1.49,4.11,3.55,4.9,5.61,7.62,3.1,2.6,2.89,3.44,1.92,5.85,2.67,4.29,1.48,3.17,3,3.14,,,,,,,,
August,,,,,4.4,2.54,0.59,3.21,1.32,2.24,5.02,4.11,4.2,3.01,2,3.26,0.03,7.24,5.31,3.45,4.31,5.87,,,,,,,,
September,,,,,7.13,3.05,0.71,3.76,1.59,2.22,1.83,6.61,3.69,3.39,4.36,5.98,6.9,5.8,2.02,8.95,2.59,3.85,,,,,,,,
October,,,,,9.98,6.37,2.58,10.49,1.42,4.73,4.77,7.31,8.47,5.49,3.68,0.33,2.95,4.67,5.62,6.09,1.46,5.88,,,,,,,,
November,,,,,4.84,3.27,0.54,9.97,7.23,6.63,6.75,2.09,3.61,6.68,0.57,3.58,9.2,5.74,4.29,5.64,5.63,2.88,,,,,,,,
December,,,,,1.62,9.52,1.34,4.92,2.43,6.83,5.53,7.99,3.9,6.28,4.59,4.94,2.16,6.99,11.75,2.53,7.62,,,,,,,,,
Total,,,,,53.18,39.81,28.32,68.1,42.27,41.32,38.14,44.53,55.88,54.55,44.39,44.44,46.54,63.69,60.05,54.67,45.73,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 np Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 D+T est deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5701/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,800375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
