EXMOUTH MARPOOL HALL,,,,,,,,,,,,
Grid ref,SY009815,Long,-3.402369,Lat,50.624753,,,,,,,
Station no,RR8937,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.30,,
February,,,,,,,,,,0.46,,
March,,,,,,,,,,5.19,,
April,,,,,,,,,,1.76,,
May,,,,,,,,,,0.93,,
June,,,,,,,,,,3.23,,
July,,,,,,,,,1.26,1.97,,
August,,,,,,,,,3.41,1.71,,
September,,,,,,,,,2.45,1.55,,
October,,,,,,,,,2.41,4.96,,
November,,,,,,,,,0.83,0.52,,
December,,,,,,,,,3.44,4.67,,
Total,,,,,,,,,,28.25,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.80,28.25,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
