EXMOUTH-MARPOOL-HALL,,,,,,,,,,,,,,,,,,,,
Grid ref,SY009815,Long,-3.402369,Lat,50.624753,Elevation,87,ft,,,,,,,,,,,,
Station no,RR8937,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.3,3.1,0.99,3.84,6.06,0.57,,,,,
February,,,,,,,,,,0.46,4.27,1.03,3.51,1.02,1.93,,,,,
March,,,,,,,,,,5.19,0.59,2.71,4.26,3.18,4.28,,,,,
April,,,,,,,,,,1.76,2.01,1.18,0.06,3.42,1.13,,,,,
May,,,,,,,,,,0.93,2.21,1,1.33,2.82,0.56,,,,,
June,,,,,,,,,,3.23,1.82,2.42,5.48,0,1.04,,,,,
July,,,,,,,,,1.26,1.97,2.77,0.77,1.87,0.75,3.81,,,,,
August,,,,,,,,,3.41,1.71,3.85,0.64,5.66,1.04,1.46,,,,,
September,,,,,,,,,2.45,1.55,0.27,1.29,0.67,2.2,2.75,,,,,
October,,,,,,,,,2.41,4.96,4.35,3.67,4.43,1.65,2.67,,,,,
November,,,,,,,,,0.83,0.52,4.06,3.5,1.35,2.5,3.45,,,,,
December,,,,,,,,,3.44,4.67,6.03,9.04,3.79,2.62,8.08,,,,,
Total,,,,,,,,,,28.25,35.33,28.24,36.25,27.26,31.73,,,,,
,,,,,,,,,,,,,,,,,,,,
Marpool Hall,,,,,,,,,,,,,,,,,,,,
NGR near Hall to match elevation,,,,,,,,,,,,,,,,,,,,
For church to be NNE gauge would have to be on W of grounds,,,,,,,,,,,,,,,,,,,,
