KIRKSTEAD - OLD HALL FARM,,,,,,,,,,,,,,,,,
Grid ref,TF187622,Long,-0.227,Lat,53.144,Elevation,20,ft,,,,,,,,,
Station no,RR3091,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905
January,1.18,1.95,2.00,0.75,1.40,2.37,3.78,0.91,1.40,0.88,2.17,2.83,0.50,0.62,1.48,1.44,0.68
February,1.30,1.05,0.14,1.97,2.48,1.00,0.25,0.60,2.84,0.50,1.05,4.34,1.67,1.75,0.35,2.42,0.53
March,2.24,1.22,1.20,1.32,0.45,0.60,1.91,1.78,1.96,1.37,0.70,0.24,1.52,1.14,2.90,1.39,0.92
April,2.17,0.14,0.42,1.29,0.17,1.84,1.24,0.43,1.10,1.59,2.14,2.24,1.21,1.45,1.37,0.89,
May,4.25,2.00,2.34,1.90,0.85,1.28,0.81,0.68,1.08,1.70,2.46,1.09,1.32,2.97,2.01,1.56,
June,0.72,1.49,2.41,2.10,1.33,1.83,1.33,1.93,1.68,0.95,2.59,2.48,0.57,2.34,0.89,0.38,
July,1.86,1.83,2.75,2.47,1.90,3.62,3.07,1.58,0.90,0.30,0.83,1.00,2.47,1.29,1.88,4.32,
August,3.35,1.38,3.50,1.08,0.95,2.53,1.82,0.92,3.27,2.49,0.38,3.86,2.20,3.05,4.25,3.01,
September,2.23,0.52,1.22,2.28,0.87,0.66,0.25,3.48,2.28,0.40,2.40,0.68,0.89,0.68,3.25,2.03,
October,3.94,0.98,3.17,4.78,1.15,2.48,1.99,3.00,0.60,2.53,2.28,2.22,2.03,1.86,5.15,0.67,
November,0.50,2.83,2.49,1.09,2.80,1.90,2.38,0.87,2.36,1.62,0.88,1.93,2.05,1.41,1.71,0.97,
December,1.40,1.00,2.92,1.07,1.83,1.76,1.97,3.28,1.37,1.79,2.12,3.74,4.53,1.33,0.96,1.68,
Total,25.14,16.39,24.56,22.10,16.18,21.87,20.80,19.46,20.84,16.12,20.00,26.65,20.96,19.89,26.20,20.76,
,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/033,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/159,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/103,,,,,,,,,,,,,,,,,
