LOCH DAIMH (NEW SITE),,,,,,,,,,,,
Grid ref,NN463452,Long,-4.503428,Lat,56.573497,,,,,,,
Station no,5557/4/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,9.40,5.25,7.06,,
February,,,,,,,,4.25,3.97,7.96,,
March,,,,,,,,2.55,7.10,2.77,,
April,,,,,,,,4.45,6.60,9.06,,
May,,,,,,,,6.70,2.95,4.72,,
June,,,,,,,,3.10,4.80,3.95,,
July,,,,,,,,4.65,6.50,4.05,,
August,,,,,,,,8.22,4.85,3.24,,
September,,,,,,,,7.65,1.65,4.96,,
October,,,,,,,,13.00,10.10,6.06,,
November,,,,,,,,1.55,10.55,11.04,,
December,,,,,,,14.24,9.65,13.60,10.70,,
Total,,,,,,,,75.17,77.92,75.57,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,14.24,75.17,77.92,75.57,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
