SELSEY-BILL-LARGE-ACRES (Symons Gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ852933,Long,-0.794,Lat,50.733467,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.06,1.8,3.2,1.02,3.4,4.53,0.64,5.17,1.13,1.01,3.14,5.19,3.84,3.74,3.81,,,,,,,,
February,,,,,,,,,1.29,0.33,5.57,1.22,1.95,1.07,3.83,3.9,4.9,1.3,0.9,2.26,0.59,0.43,3.2,,,,,,,,
March,,,,,,,,,3.38,4.92,2,1.66,3.77,2.8,4.44,0.68,3.72,1.97,1.12,3.99,2.41,1.38,1.94,,,,,,,,
April,,,,,,,,,2.22,1.29,2.33,1.41,0.07,2.14,1.67,1.32,0.86,1.92,1.68,1.91,2.94,1.44,3.08,,,,,,,,
May,,,,,,,,,1.61,2.55,2.07,1.82,1.31,1.96,1.42,3.3,1.48,1.93,2,0.69,1.64,1.38,0.61,,,,,,,,
June,,,,,,,,,0.84,2.72,1.79,1.65,2.46,0.64,0.68,0.81,2.05,2.13,1.5,0.67,2,0.07,1.75,,,,,,,,
July,,,,,,,,,1.53,2.16,1.49,1.31,1.37,1.44,3.07,3.32,0.71,2.03,2.51,1.2,5.13,0.51,2.97,,,,,,,,
August,,,,,,,,,2.61,3.13,2.21,0.5,6.67,4.22,1.31,1.63,1.78,4.64,1.91,2.79,1.03,1.45,3.81,,,,,,,,
September,,,,,,,,,1.49,3.8,0.15,1.03,2.54,2.93,1.28,1.8,2.11,1.03,5.42,1.2,2.51,0.62,1.51,,,,,,,,
October,,,,,,,,,3.55,7.26,3.53,4.31,3.13,5.34,2.5,3.02,4.94,3.64,1.29,0.64,2.44,1.2,1.01,,,,,,,,
November,,,,,,,,,1.52,1.42,4.7,5.77,2.56,3.37,3.33,3.5,4.32,1.2,2,2.88,1.42,2.23,1.56,,,,,,,,
December,,,,,,,,,4.62,5.51,3.09,6.76,3.01,1.93,8.52,7.81,4.04,1.49,2.27,4.6,3.32,1.77,3.64,,,,,,,,
Total,,,,,,,,,25.72,36.89,32.13,28.46,32.24,32.37,32.69,36.26,32.04,24.29,25.74,28.02,29.27,16.22,28.89,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917 Total corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note that there are multiple duplicate values with the other gauge at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
