ROBERTON MANSE,,,,,,,,,,,
Grid ref,NT433145,Long,-2.8973179,Lat,55.421113,Elevation,730,ft,,,
Station no,RR7170,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,3.19,1.95,3.14,3.75,4.16,4.16,7.05,0.88,
February,,,3.26,4.44,0.83,5.29,4,1.5,3.83,1.2,
March,,,2.73,1.38,1.03,2.29,2.16,2.53,3.85,0.37,
April,,,1.71,3.12,2.01,3.63,2.36,2.14,0.9,1.35,
May,,,2.11,2.23,4.08,5.98,2.86,1.83,1.48,1.79,
June,,,1.23,1.2,1.68,0.66,3.51,3.33,4.98,1.36,
July,,,3.8,1.99,4.87,1.1,2.55,2.91,1.61,3.88,
August,,,2.6,5.37,2.79,3.3,3.53,5.99,6.24,4.3,
September,,,1.9,2.87,4.44,3.82,4.76,6.95,2.59,0.44,
October,,,2.5,3.91,2.84,3.28,4.05,4.12,6.83,,
November,,,1.2,4.36,1.72,1.77,4.29,3.06,4.11,,
December,,,3.35,2.55,5.26,3.39,0.7,1.69,2.08,,
Total,,,29.58,35.37,34.69,38.26,38.93,40.21,45.55,,
