THEYDON BOIS SUTTONS,,,,,,,,,,,,
Grid ref,TQ453984,Long,0.099546,Lat,51.665598,,,,,,,
Station no,RR8161,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.43,,0.69,,
February,,,,,,,,0.93,,0.82,,
March,,,,,,,,0.92,,2.97,,
April,,,,,,,,2.89,,1.76,,
May,,,,,,,,1.67,,1.13,,
June,,,,,,,,1.39,,2.57,,
July,,,,,,,,1.58,,3.57,,
August,,,,,,,,1.52,,1.35,,
September,,,,,,,,0.50,,2.25,,
October,,,,,,,,2.74,,3.77,,
November,,,,,,,,2.02,,0.96,,
December,,,,,,,,2.14,,2.88,,
Total,,,,,,,,19.73,,24.72,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.73,0.00,24.72,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,,
