MONTGOMERIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS442265,Long,-4.4685525,Lat,55.507347,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5255/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,,4.9,6.03,4.09,5.13,2.68,3.95,4.74,5.74,2.87,2.78,0.36,4.87,3.67,4.57,3.56,4.12,,,,
February,,,,,,,,,,,,3.63,0.04,3.77,0.64,5.57,1.66,4.68,1.63,3.9,1.39,2.18,1.21,4.47,1.63,5.11,2.46,,,,
March,,,,,,,,,,,,0.86,2.85,2.95,2.69,2.21,2.1,0.69,2.76,3.75,5.42,2.64,1.5,2.34,0.69,2.83,1.86,,,,
April,,,,,,,,,,,,1.55,3.33,2.47,2.59,2.77,0.54,1.69,0.62,2.5,2.32,1.55,1.25,3.68,3.06,1.35,1.4,,,,
May,,,,,,,,,,,,2.26,2.75,2.18,3.29,0.67,1.7,1.41,2.6,0.61,1.47,3.76,1.87,3.65,2.77,3.88,0.97,,,,
June,,,,,,,,,,,,5.84,1.96,1.79,2.16,4.16,1.88,2.93,4.9,2.6,1.39,1.5,1.82,3.35,3.33,4.19,2.54,,,,
July,,,,,,,,,,,,4.03,4.39,4.53,2.44,1.79,6.46,5.54,4.99,3.71,4.54,5.13,4.12,2.53,3.17,3.02,3.9,,,,
August,,,,,,,,,,,,1.43,1.3,3.43,4.41,3.15,4.71,2.39,3.29,3.46,3.03,6.82,4.21,4.86,3.57,1.7,1.92,,,,
September,,,,,,,,,,,,1.09,5.75,1.01,4.22,5.09,3.96,2.44,3.51,2.26,5.95,1.43,6.04,2.18,5.13,5.24,5.65,,,,
October,,,,,,,,,,,5.55,3.96,5.73,3.01,7.59,7.79,5.36,3.17,8.5,1.15,4.07,3.79,6,5.91,4.65,4.33,0.72,,,,
November,,,,,,,,,,,5.63,6.18,3.89,1.79,0.83,4.16,3.71,0.64,6.19,8.09,4.06,2.16,0.93,2.73,6.46,0.35,6.24,,,,
December,,,,,,,,,,,3.71,3.91,7.93,1.28,4.2,3.37,5.68,2.18,2.38,2.67,5.91,2.23,5.1,2.59,4.79,2.44,3.48,,,,
Total,,,,,,,,,,,,39.64,45.95,32.3,40.19,43.41,41.71,32.5,47.11,37.57,42.33,33.55,38.92,41.96,43.82,38,35.26,,,,
