PRESTON W.W. JEFFREY HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD639401,Long,-2.550304,Lat,53.855863,Elevation,900,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.08,4.6,3.67,4.22,3.1,2.2,5.1,5.03,5.85,6.41,3.54,7.16,4.5,1.22,0.97,0.83,4.06,5.16,7.56,4.42,6.2,3,2.2,3.1,5.35,2.7,4.75,2.25,3.4,2.1,3.6,1.3,5.15,5.45,5.15,3.2,4.86,5.87,3.83,3.53,6.07,2.5,4.76,2.65,5.72,1.77,3.72,6.55,5.2,7.35,4.8,2.45,3.1,5.3,4.48,10.1,3.3,4.23,3.68,3.35,5.4,4.68,10.43,2.23,7.01,8.54,6.98,3.93,5.99,3.76,4.33,3.64,6.27,5.98,3.5,1.38,3.17,5.87,6.3,4.16,4.42,3.11,8.52,3.08,4.4,5.03,4.61,2.5,5.79,3.75,5.04,4.4,4.42,3.5,6.45
February,,,,,,,3.7,3.3,3.05,6,1.5,4.35,4.91,0.68,1.95,1.59,6.15,4.31,2.05,1.74,3.2,6.5,3.52,4.09,3.92,4.4,1.2,2,1.3,2.2,1.4,0.45,4.5,4.1,5.85,0.75,3.05,4.63,4.4,2.08,3.4,2.16,1.6,5.28,3.32,2.9,3.78,3.5,4.23,4.8,4.75,6.76,2.25,1.95,3.78,5.2,4.39,1.5,5.1,1.5,2.85,0.32,5.25,3.85,1,4.45,7,2.65,5.05,1.66,0.49,6.52,0.15,5.21,0.38,8.4,2.42,6.64,2.39,4.49,2.4,4.83,2.2,2.6,2.41,5.55,5.71,0.7,3.35,2.84,5.23,3.55,1.82,1.97,3.35,2.17,1.2,3.4,10.41,1,3.26
March,,,,,,,3.77,1.14,4.8,1.26,3.32,1.08,4.85,2.96,4.43,1.46,3.58,5.02,2.03,2.63,3.18,6.24,5.9,2.5,7.56,4.54,3.62,2.9,3.82,4.65,4.65,1.5,1.25,4.8,3.8,1.6,6.25,5.08,2.95,3.45,0.86,3.38,3.38,3.9,2.61,4.16,4.34,5.42,3.42,3.58,1.3,2.73,7.62,6.1,5,3.1,2.1,2.05,2.05,5.2,4.53,4.03,2.12,3.32,1.87,2.25,2.12,3.71,2.71,2.15,3.46,0.61,3.66,3.09,2.69,1.64,2.71,1.91,1.74,2.45,4.54,3.46,2.52,1.34,0.7,2.42,1.08,6.41,2.72,2.77,2.3,5.35,2.71,1.3,2.76,1.9,1.29,4.12,2.03,2.21,1.39
April,,,,,,,0.84,4.66,2,2.2,1.91,2.2,2.72,0.83,1.53,1.68,3.01,2.94,1.53,1.65,1.84,2.14,5.28,2.07,1.02,1.8,3.1,2.35,2.15,2.95,1.4,2.2,3,0.65,2.45,2.4,3.15,2.6,2.33,4.31,3.45,2.43,2.15,2.5,3.58,3.38,2.45,1.84,2.75,4,3.37,3.56,1.27,4.55,1.31,3.5,4.92,1.93,1.45,2.25,4.85,2.12,2.15,3.5,1.83,2.7,1.8,2.95,1.56,1.63,2.51,3.38,4.11,2.21,2.97,3.84,1.42,3.24,1.33,2.81,4.25,1.73,1.49,3.36,2.82,3.27,1.6,3.34,2,5.28,3.43,2.73,3.82,3.65,1.53,3.41,2.05,0.64,1.96,3.08,2.73
May,,,,,,,1.48,1.95,1.3,3.25,2.14,1.96,2.98,2.78,1.92,2.95,0.77,3.3,5.53,2.66,2.41,5.1,3,1.05,2.61,1.91,5.5,2.6,1.2,2.2,2.15,2.7,3.7,2,3.5,0.8,0.83,4.1,3.15,3.76,1.92,0.61,3.3,3.68,2.36,0.86,5.47,3.93,3.18,2.48,2.3,2.41,2.82,4.75,2.93,2.05,3.4,1.63,2.05,1.69,7,2.55,1.4,4.5,5.35,4.25,3.45,1.8,0.85,3.19,2.88,2.57,5.75,1.69,4.91,1.22,2,2.13,4.19,0.94,1.39,3.27,3.54,2.7,3.94,4.02,1.19,2.96,1.73,2.48,1.53,1.96,2.64,3.03,2.55,3.7,2.13,2.09,6.3,2.03,2.54
June,,,,,,,4.45,0.5,0.65,1.1,2.69,3.23,5.12,4.63,1.7,4.35,4.9,2.65,3.08,4.5,5.96,3.06,5.5,4.24,0.87,3.72,2.57,0.7,2.1,1.5,4.65,0.65,5.1,2.15,4.53,3.1,3.24,4.5,3.05,3.45,3.1,2.3,1.48,2.55,2.39,2.93,2.06,9.2,3.29,2.96,2.26,3.7,5.9,4.5,2.09,1.75,2.85,2.1,1.95,2,2.63,0.49,3.62,3.2,3.03,0.35,2.76,4,8.12,2.14,3.34,7.77,1.5,2.66,3.12,4.16,4.56,4,5.82,4.48,1.01,0.55,1.2,4.6,5.14,4.85,3.25,3.72,6.76,1.75,4.06,1.89,4.59,2.27,4.45,3.75,3.21,2.28,4.74,3.82,1.43
July,,,,,,,5.14,3.77,0.39,0.88,2.3,8.43,5.35,4.5,2.91,5.7,5.3,5.36,1.25,6.8,5.97,7.11,8.25,2.85,6.74,2.5,5,1.9,7.7,3.55,4.3,3.55,2.15,4.4,3.8,5.7,2.82,2.64,1.48,2.78,3.57,1.23,3.3,5.62,2.56,3.57,2.61,3.06,5.8,6.9,4.5,1.14,5.5,2.7,4.5,3.1,3.25,1.83,5,1.24,6.45,2.8,8,6.2,5.1,4,4.48,4.44,4.54,4.8,6.59,6.3,6.96,4.57,2.91,2.93,5.67,2.77,5.92,8.55,5.86,1.95,5.17,4.74,4.43,2.67,5.47,4.53,2.5,3.51,5.01,3.43,2.44,8.07,7.74,1.2,5.01,5.92,4.51,4.33,10.11
August,,,,,,,3.7,2.7,4.2,3.72,3.78,2.22,4.5,5.96,7.92,3.65,4.81,6.5,5.75,7.65,2.16,6.57,5.73,4.14,2.08,2.62,1.84,2.2,6.25,6.45,7.35,9.6,4.3,5.6,7.52,5.75,4.13,5.82,6.7,1.84,5.95,3.63,3.5,7.37,5.92,4.77,6.18,6.57,5.95,4.41,6.11,4.3,8.56,2.6,4,6.15,5.33,6.35,6.1,4.73,1.6,6.57,5.68,8.25,8.3,3.1,4.43,8.25,9.2,8.74,8.83,5.14,2.23,3.57,6.82,2.23,4.39,3.42,6.34,2.12,3.3,6.43,5,7.86,2.91,2.27,9.04,0.14,4.77,4.06,9.69,5.19,7.24,5.95,7.35,0.97,14.03,6.17,5.36,0.5,5.74
September,,,,,,,8.35,5.9,2.39,7.22,4.39,4.35,7.11,3.03,5.8,5.68,5.82,7.07,6.78,3.7,3.64,2.64,3.04,4.53,3.92,4.62,5.12,4.5,2.85,5.6,6.2,5.2,4.95,7.11,0.8,4.1,7.62,4.87,1.2,6.62,3.7,1.35,1.72,6.39,1.32,4.25,1.45,1.34,6.31,3.35,6.5,4.86,3,2.38,4.62,0.93,3.65,4.15,11.1,2.38,3.28,2.9,4.23,5.55,5.17,4.45,5.1,9.69,2.07,2.07,4.09,3.07,9.55,1.36,5.57,10.5,6.47,3.16,2.48,2.05,6.39,1.29,3.7,5.06,7.76,4.14,7.75,4.24,4.77,2.61,7.72,3.65,4.64,5.47,7.25,4.12,5.43,9.05,5.66,0.53,3.31
October,,,,,,,2.55,4.8,5.7,3.91,11.5,5.08,5.25,7.89,7.16,3.42,3.6,6.5,5.24,3.7,3.12,3.25,4.54,7.2,4.8,4.27,6.19,2.4,2.45,3.9,5.1,4.1,5.25,6.65,4.3,5.8,3.61,3.05,5.04,3.25,7.1,4.88,4.98,11.36,4.41,4.5,7.12,4.55,3.29,5.6,4.5,4.82,5.5,2.63,2.02,2.6,10.2,8.1,4.95,2.9,3.65,4.1,1,6,4.57,6.3,5,4.27,6.91,7.9,10.3,4.91,8.41,6.29,8.17,12.76,5.05,2.31,11.48,2.23,4.54,5.66,7.04,5.44,5.47,5.89,0.9,0.85,3.92,5.23,3.93,1.52,3.55,1.81,10.24,3.67,3.71,8.26,4.76,5.31,2.88
