CROWBOROUGH-BEACONSTONE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ510307,Long,0.15318077,Lat,51.055796,Elevation,794,ft,,,,,,,,,,,,,
Station no,568/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,4.48,2.65,3.48,2.29,3.73,0.98,6,8.02,,,
February,,,,,,,,,,,1.24,2.51,0.52,2.95,0.1,6.3,2.51,6.63,,,
March,,,,,,,,,,,1.47,0.67,1.82,3.44,3.72,0.82,1.73,4.2,,,
April,,,,,,,,,,,2.32,3.82,2.75,1.76,3.68,4.15,2.85,3.31,,,
May,,,,,,,,,,,3.34,2.96,2.59,1.29,0.6,1.78,0.89,2.78,,,
June,,,,,,,,,,,1.22,2,1.44,1.64,2.03,3.24,3.45,1.88,,,
July,,,,,,,,,,,3.59,3.42,3.82,2.52,1.52,1.15,5.31,1.27,,,
August,,,,,,,,,,,3.79,3.67,0.58,1.52,2.53,5.45,1.04,2.61,,,
September,,,,,,,,,,,3.6,2.96,3.28,3.7,2.34,6.88,3.95,2.47,,,
October,,,,,,,,,,,2.16,0.67,8.16,2.36,2.8,4.97,2.49,,,,
November,,,,,,,,,,,7.06,4.92,2.05,1.32,4.63,9.56,6.44,,,,
December,,,,,,,,,,,3.19,0.92,1.16,0.77,10.16,5.03,4.62,,,,
Total,,,,,,,,,,,37.46,31.17,31.65,25.56,37.84,50.31,41.28,,,,
