"GAMESHOPE FARM EDINBURGH W W NO 5A",,,,,,,,,,,,
Grid ref,NT135185,Long,-3.369228,Lat,55.452686,,,,,,,
Station no,5070,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.31,4.21,7.12,12.88,8.84,3.03,10.36,2.79,4.79,8.91,,
February,3.97,3.33,2.26,14.30,4.76,2.71,3.15,4.32,4.48,2.54,,
March,1.05,4.17,4.99,25.18,5.33,10.14,3.87,6.69,9.13,7.49,,
April,4.78,7.56,4.86,2.55,7.72,5.58,2.16,4.14,2.15,5.34,,
May,8.03,1.96,3.20,4.48,4.82,4.82,8.37,8.15,3.96,3.98,,
June,8.41,5.93,1.78,3.09,6.10,3.39,2.66,8.90,5.32,3.22,,
July,5.22,1.96,4.02,6.21,5.91,4.44,3.99,4.36,4.86,6.67,,
August,6.73,8.35,4.14,11.30,-999.00,8.37,10.07,7.73,5.59,4.10,,
September,6.99,9.31,4.53,5.63,6.36,3.92,2.09,1.13,8.38,3.45,,
October,8.01,7.79,5.14,16.83,3.68,5.12,11.03,12.81,3.05,15.71,,
November,8.16,4.33,6.85,6.54,3.03,8.89,6.49,6.77,5.70,3.46,,
December,17.11,5.42,10.36,6.93,6.37,5.70,3.41,8.35,5.79,7.57,,
Total,86.77,64.32,59.25,115.92,71.45,66.11,67.65,76.14,63.20,72.44,,
Calc annual,86.77,64.32,59.25,115.92,62.92,66.11,67.65,76.14,63.20,72.44,,
Difference,0.00,0.00,0.00,0.00,8.53,0.00,0.00,0.00,0.00,0.00,,
