"SKYE (GLENBRITTLE)",,,,,,,,,,,,
Grid ref,NG412213,Long,-6.287457,Lat,57.209119,,,,,,,
Station no,5756/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,14.39,7.86,8.05,7.92,3.92,6.26,9.89,10.06,,,,
February,5.13,5.77,5.96,6.03,4.22,5.38,6.02,5.40,,,,
March,5.34,7.30,2.89,5.74,2.29,2.39,8.55,2.87,,,,
April,5.16,3.57,9.18,3.20,8.18,3.18,4.29,3.97,,,,
May,0.95,4.30,4.50,5.44,3.98,7.19,3.37,,,,,
June,3.88,7.53,2.75,7.83,6.64,4.47,5.01,,,,,
July,9.72,7.24,10.46,8.30,3.25,8.54,6.97,,,,,
August,7.72,6.54,8.15,7.71,2.01,6.70,6.71,,,,,
September,6.54,7.89,8.24,9.95,14.04,4.45,5.91,,,,,
October,7.52,8.72,9.83,12.76,13.55,6.57,11.13,,,,,
November,9.06,4.77,14.61,13.45,3.28,9.16,7.39,,,,,
December,12.84,11.50,8.25,10.21,7.82,11.23,7.52,,,,,
Total,88.25,82.99,92.87,98.54,73.18,75.52,82.76,,,,,
Calc annual,88.25,82.99,92.87,98.54,73.18,75.52,82.76,22.30,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,,
