"STRACHAN, KINCARDINE",,,,,,,,,,,,,,,,,,,,
Grid ref,NO 67351 92279,Long,-2.539362,Lat,57.020472,Elevation,200,ft,,,,,,,,,,,,
Station no,RR2108,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,2.5,2.9,1.95,0.57,2.8,3.5,1.12,5,3.5,1.8,4.12,,,,
February,,,,,0.3,1.6,3.55,1.84,1.48,1.72,2.2,2.47,2.33,0.3,3.2,2,,,,
March,,,,,0.7,2.75,0.12,4.8,2.5,2.45,2.88,2.65,2.72,2.15,2.06,2.75,,,,
April,,,,,5.55,0.7,5.4,3.1,1.45,2.5,1.56,1.42,0.8,1.65,1.25,0.5,,,,
May,,,,,3.2,0.8,1.96,2.04,1.77,0.25,1.57,2.93,3.5,1.8,2,,,,,
June,,,,,2.6,2.1,2.84,2.09,1.83,2.9,4.34,2.51,4.35,2.7,1.14,,,,,
July,,,,,1.4,1.9,2.74,1.23,4.66,2.52,2.66,2.24,1.58,0.6,2.37,,,,,
August,,,,,2.33,4.33,2.53,1.2,3.25,1.62,5.03,5.03,2.95,3.55,1.1,,,,,
September,,,,,0.9,0.6,6.9,6.44,1.7,2.53,0.96,4.1,2.6,2.7,3.66,,,,,
October,,,,,2.14,3.33,1.33,1.59,2.9,5.54,1.85,2.2,3.86,3.58,2.75,,,,,
November,,,,,5.2,1.8,2.89,4.07,3.1,4.65,5.76,2,1.3,1.7,7.4,,,,,
December,,,,,1.14,1.7,2.13,1.29,4.51,1.8,5.85,2.76,2.4,2.7,4.6,,,,,
Total,,,,,,24.11,35.29,31.64,29.72,31.28,38.16,31.43,33.39,26.93,33.33,,,,,
