CHULMLEIGH-LEIGH-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS674141,Long,-3.88674,Lat,50.91155,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,2.32,6.08,1.41,4.01,6.02,1.85,4.69,2.4,1.5,5.35,4.9,5.1,3.94,3.95,2.93,4.36,3.08,4.72,,,,
February,,,,,,,,,,0.75,5.44,2.1,2.11,1.09,2.8,5.13,7.44,1.34,2.23,3.29,1.22,0.19,4.98,7.49,0.9,5.94,2.46,,,,
March,,,,,,,,,,6.05,0.41,1.88,5.35,4.64,7.07,0.77,4.05,3.3,1.4,4.95,3.39,3.12,3.69,1.65,1.69,0.83,0.78,,,,
April,,,,,,,,,,2.99,1.89,2.42,0.24,4.03,1.9,1.29,1.33,2.47,2.39,2.74,3.97,1.04,4.45,2.67,3.46,2.93,2.05,,,,
May,,,,,,,,,,1.57,3.05,0.68,1.83,2.89,1.77,2.23,2.28,1.67,0.88,0.98,1.58,1.72,1.65,2.46,3.76,4.45,1.66,,,,
June,,,,,,,,,,3.5,2.54,2.86,6.34,1.62,2.42,1.44,2.56,5.03,1.17,1.43,2.37,0.28,1.34,0.69,2.41,0,2.41,,,,
July,,,,,,,,,2.24,2.29,2.21,0.27,2.45,0.5,4.84,3.8,1.62,2.62,4.55,1.54,4.78,0.84,3.11,2.03,3.72,3.39,1.97,,,,
August,,,,,,,,,3.47,1.56,4,1.94,8.4,2.3,2.43,3.77,4.33,6.41,4.39,2.95,1.43,2.12,4.04,2.35,5.27,2.6,1.94,,,,
September,,,,,,,,,2.24,2.63,0.2,2.2,0.73,1.64,3.06,1.48,3.06,1.64,8.63,1.55,2.26,2.19,3.08,3.52,5.09,4.51,,,,,
October,,,,,,,,,2.1,5.85,,3.87,5.23,3.52,3.67,4.2,5.83,7.64,2.03,2.24,4.16,2.03,1.27,6.3,4.87,3.56,,,,,
November,,,,,,,,,1.7,1.68,6.33,5.43,2.93,4.37,3.2,2.73,4.46,3.44,2.95,4.13,2.2,2.93,2.1,3.54,3.22,2.8,,,,,
December,,,,,,,,,4,5.24,4.58,6.73,5.38,4.11,6.44,8.39,3.86,1.24,6.44,7.2,3.38,2.7,6.31,4.97,4.59,4.82,,,,,
Total,,,,,,,,,,36.43,,31.79,45,36.73,41.45,39.92,43.22,38.3,42.41,37.9,35.84,23.1,39.97,40.6,43.34,38.91,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 June Gauge moved from Stevenstone 16 miles SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 Oct 11 Note says Should undoubtedly be 1.65 not 0.65 Observer will not admit Oct should be 5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
