HALKYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ201711,Long,-3.1984191,Lat,53.230904,Elevation,895,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,3.71,1.51,0.85,0.72,2.02,3.03,3.06,1.67,3.2,3.26,0.84,0.79,3.43,1.53,2.59,1.61,1.6,2.76,1.37,1.8,1.53,
February,,,,,,,,,1.15,2.7,2.26,2.69,2.69,2.34,3.08,2.72,1.02,0.72,0.85,1.78,0.86,0.23,1.89,2.8,1.87,0.26,1.14,2.1,2.72,
March,,,,,,,,,1.58,1.66,1.66,3.4,2.14,1.3,1.99,1.63,2.55,1.61,2.26,2.59,1.72,1.18,1.41,0.8,1.35,2.86,4,2.31,0.9,
April,,,,,,,,2.83,1.48,3.3,2.22,0.93,4.75,0.72,1.52,2.28,1.71,1.3,1.28,4.38,1.56,1.68,1.4,0.71,2.95,2.02,1.22,2.59,2.1,
May,,,,,,,,2.74,4.81,3.27,2.35,2.07,1.36,1.61,1.64,2.32,5.82,2.19,0.86,2.73,1.86,3.14,3.58,1.58,2.99,0.91,0.45,1.47,5.19,
June,,,,,,,,1.47,2.49,5.52,3.68,3.03,4.85,2.69,1.28,1.79,1.3,1.36,2.07,0.62,2.38,4.83,3.39,2.08,2.31,1.45,2.24,2.8,2.39,
July,,,,,,,,4.49,0.79,4.66,5.66,1.94,3.36,2.23,4.26,1.53,4.39,2.01,7.06,3.01,2.89,2.35,2.59,3.06,2.84,4.57,2.25,0.72,1.62,
August,,,,,,,,7.12,5.8,9.17,2.09,5.13,4.18,2.24,1.43,1.58,2.09,2.56,4.77,5.16,4.93,4.71,3.44,2.51,3.62,2.83,3.34,3.25,3.99,
September,,,,,,,,2.78,3.76,2.99,2.5,1.64,1.98,5.57,2.98,3.49,2.96,3.25,1.03,2.93,1.09,3.75,4.65,3.37,1.09,1.08,5.47,5.56,1.06,
October,,,,,,,,3.65,3.78,1.77,6.45,4,2.36,4.54,1.5,6.12,4.79,3.47,1.63,4.19,2.56,3.31,9.47,2.16,3.71,5.42,5.18,1.68,3.88,
November,,,,,,,,5.62,3.14,1.59,3.59,2.75,4.89,3.11,2.7,3.03,2.71,1.4,4.99,2.07,5.14,3.23,1.64,1.58,3.17,3.65,1.22,3.18,1.83,
December,,,,,,,,2.56,1.96,1.37,5.37,2.49,4.34,2.04,2.62,1.16,4.05,2.38,1.76,2.42,1.17,3.77,2.65,2.87,2.37,2.52,3.9,2.98,2.17,
Total,,,,,,,,,34.45,39.51,38.68,30.79,38.92,31.42,28.06,29.32,36.59,25.51,29.4,32.67,29.59,33.71,38.7,25.13,29.87,30.33,31.78,30.44,29.38,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is an area west of Halkyn at the correct altitude. The point is further than 400 yards from Halkyn, relationship described on the record, but is in the mining area and the observer, Captian Williams, was involved with minig. NGR could be +/- 1km.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
