"SPURN HEAD (R.N. SIGNAL STN.)",,,,,,,,,,,,
Grid ref,TA405114,Long,0.120740,Lat,53.580376,,,,,,,
Station no,3390/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.91,2.00,0.92,1.47,1.50,3.01,1.72,1.25,2.04,3.14,,
February,3.58,0.75,1.50,1.68,1.95,1.64,1.76,2.86,0.28,1.54,,
March,2.62,2.50,0.43,1.80,2.21,0.56,0.94,1.98,1.90,0.84,,
April,1.76,1.15,2.34,0.31,0.76,1.04,0.22,0.66,1.43,0.95,,
May,3.76,1.48,2.18,2.60,3.14,0.62,1.29,2.28,0.27,0.72,,
June,1.38,2.00,2.51,1.74,2.94,2.41,1.51,3.10,1.22,0.10,,
July,0.83,0.46,1.73,3.09,0.62,3.56,3.11,3.71,1.54,1.94,,
August,4.37,1.56,2.50,5.35,0.53,2.65,4.02,1.08,0.40,3.21,,
September,1.17,2.98,0.79,1.25,0.85,1.35,3.62,1.31,0.19,2.03,,
October,1.24,1.96,1.77,3.14,1.13,1.24,1.34,1.11,1.57,4.58,,
November,2.76,3.84,1.23,3.26,1.09,1.01,1.81,0.51,1.84,3.21,,
December,1.41,1.98,1.28,1.61,1.65,1.05,1.63,1.86,3.59,3.58,,
Total,26.79,22.66,19.18,27.30,18.37,20.14,22.97,21.71,16.27,25.84,,
Calc annual,26.79,22.66,19.18,27.30,18.37,20.14,22.97,21.71,16.27,25.84,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
